experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,18,5.222591895,105.0,-4.000112440555037,-4.000337865498305,2.5045962768871816e-5,0.0001124405550365637,0.0001124405550365637,0.0,0.0,2.248811100731274e-5,2.248811100731274e-5,0.0,0.0,4.000112440555037,4.000112440555037,1.0000844663745763
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,35,0.011315737,241.0,-3.9997047993316794,-4.000088017253159,4.2580749278264903e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9997047993316794,3.9997047993316794,1.0000220043132897
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,23,0.002380181,215.5,-3.9998330810692284,-3.999799713663519,3.7076407972014693e-6,0.0,0.0,5.0071584120292556e-5,5.0071584120292556e-5,0.0,0.0,2.5035792060146278e-5,2.5035792060146278e-5,3.9998330810692284,3.9998330810692284,0.9999499284158797
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,28,0.001997101,348.0,-4.00029658740438,-3.999933042999035,4.0392792214638496e-5,0.00029658740437987774,0.00029658740437987774,1.6739250241259995e-5,1.6739250241259995e-5,5.931748087597555e-5,5.931748087597555e-5,8.369625120629998e-6,8.369625120629998e-6,4.00029658740438,4.00029658740438,0.9999832607497587
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,27,0.001834331,439.0,-3.9991265700541794,-3.999745228570618,6.874845317087863e-5,0.0,0.0,6.369285734553198e-5,6.369285734553198e-5,0.0,0.0,3.184642867276599e-5,3.184642867276599e-5,3.9991265700541794,3.9991265700541794,0.9999363071426545
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,23,0.001706889,470.0,-3.999601598220363,-3.9999918598589748,4.336436311589164e-5,0.0,0.0,2.0350352563092144e-6,2.0350352563092144e-6,0.0,0.0,1.0175176281546072e-6,1.0175176281546072e-6,3.999601598220363,3.999601598220363,0.9999979649647437
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,29,0.001836995,754.5,-3.998903387935975,-3.9993334051695872,4.778905506704403e-5,0.0,0.0,0.00016664870760318973,0.00016664870760318973,0.0,0.0,8.332435380159486e-5,8.332435380159486e-5,3.998903387935975,3.998903387935975,0.9998333512923968
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,30,0.001889355,956.0,-4.000291215469166,-3.9999473206727556,3.8209520228749144e-5,0.00029121546916588414,0.00029121546916588414,1.3169831811099542e-5,1.3169831811099542e-5,5.824309383317683e-5,5.824309383317683e-5,6.584915905549771e-6,6.584915905549771e-6,4.000291215469166,4.000291215469166,0.9999868301681889
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,29,0.026237395,1487.5,-3.9997656143246494,-4.0001778019197225,4.579890961637999e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9997656143246494,3.9997656143246494,1.0000444504799306
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,27,0.013207307,2292.5,-4.000354682629146,-4.001103959698275,8.323951693850949e-5,0.0003546826291458416,0.0003546826291458416,0.0,0.0,7.093652582916832e-5,7.093652582916832e-5,0.0,0.0,4.000354682629146,4.000354682629146,1.0002759899245688
"+primal_weight,1e-4,20",+primal_weight,1e-4,20,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,29,0.011974803,3565.0,-3.999187343064267,-3.9996531620577884,5.176433488919659e-5,0.0,0.0,8.670948555289382e-5,8.670948555289382e-5,0.0,0.0,4.335474277644691e-5,4.335474277644691e-5,3.999187343064267,3.999187343064267,0.9999132905144471
"+primal_weight,1e-4,30",+primal_weight,1e-4,30,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,29,0.011253435,4423.0,-3.9991873886683873,-3.9996325176683767,4.946526373707471e-5,0.0,0.0,9.187058290582861e-5,9.187058290582861e-5,0.0,0.0,4.5935291452914306e-5,4.5935291452914306e-5,3.9991873886683873,3.9991873886683873,0.9999081294170942
"+primal_weight,1e-4,40",+primal_weight,1e-4,40,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,29,0.005933353,4423.0,-3.9991873886683873,-3.9996325176683767,4.946526373707471e-5,0.0,0.0,9.187058290582861e-5,9.187058290582861e-5,0.0,0.0,4.5935291452914306e-5,4.5935291452914306e-5,3.9991873886683873,3.9991873886683873,0.9999081294170942
