experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-8,0",+primal_weight,1e-8,0,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,35,5.594258706,190.0,-3.9999999849158727,-3.999999945395424,4.39116099971014e-9,0.0,0.0,1.3651143992987613e-8,1.3651143992987613e-8,0.0,0.0,6.825571996493807e-9,6.825571996493807e-9,3.9999999849158727,3.9999999849158727,0.999999986348856
"+primal_weight,1e-8,1",+primal_weight,1e-8,1,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,57,0.003241672,382.5,-3.999999893550548,-3.999999941042924,5.276930742516535e-9,0.0,0.0,1.4739269027508328e-8,1.4739269027508328e-8,0.0,0.0,7.369634513754164e-9,7.369634513754164e-9,3.999999893550548,3.999999893550548,0.999999985260731
"+primal_weight,1e-8,2",+primal_weight,1e-8,2,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,60,0.003256521,542.0,-3.999999993102027,-4.000000065357044,8.02833517903408e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999993102027,3.999999993102027,1.000000016339261
"+primal_weight,1e-8,3",+primal_weight,1e-8,3,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,63,0.002764957,768.5,-4.000000001975108,-4.000000047272178,5.033007760772951e-9,1.9751080770902263e-9,1.9751080770902263e-9,0.0,0.0,3.9502161541804525e-10,3.9502161541804525e-10,0.0,0.0,4.000000001975108,4.000000001975108,1.0000000118180445
"+primal_weight,1e-8,4",+primal_weight,1e-8,4,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,66,0.003762906,1067.0,-3.999999987938271,-4.000000021507384,3.729901470186173e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999987938271,3.999999987938271,1.000000005376846
"+primal_weight,1e-8,5",+primal_weight,1e-8,5,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,63,0.003221451,1307.5,-3.999999981093187,-3.9999999369685026,4.902742750277716e-9,0.0,0.0,1.575787433871767e-8,1.575787433871767e-8,0.0,0.0,7.878937169358835e-9,7.878937169358835e-9,3.999999981093187,3.999999981093187,0.9999999842421257
"+primal_weight,1e-8,6",+primal_weight,1e-8,6,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,63,0.003010395,1639.0,-3.999999868329095,-3.999999938942989,7.84598837283009e-9,0.0,0.0,1.526425275066856e-8,1.526425275066856e-8,0.0,0.0,7.63212637533428e-9,7.63212637533428e-9,3.999999868329095,3.999999868329095,0.9999999847357472
"+primal_weight,1e-8,7",+primal_weight,1e-8,7,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,56,0.002967461,1751.0,-3.999999995091913,-3.99999993414263,6.772142603689351e-9,0.0,0.0,1.6464342444955093e-8,1.6464342444955093e-8,0.0,0.0,8.232171222477547e-9,8.232171222477547e-9,3.999999995091913,3.999999995091913,0.9999999835356576
"+primal_weight,1e-8,10",+primal_weight,1e-8,10,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,58,0.003313401,2960.0,-4.000000047654771,-3.999999966873048,8.975746946008445e-9,4.765477079615721e-8,4.765477079615721e-8,8.281737962079205e-9,8.281737962079205e-9,9.530954159231442e-9,9.530954159231442e-9,4.140868981039603e-9,4.140868981039603e-9,4.000000047654771,4.000000047654771,0.999999991718262
"+primal_weight,1e-8,15",+primal_weight,1e-8,15,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,55,0.289155418,4702.5,-4.000000018826309,-4.000000038336412,2.1677891936319726e-9,1.8826309400310492e-8,1.8826309400310492e-8,0.0,0.0,3.7652618800620985e-9,3.7652618800620985e-9,0.0,0.0,4.000000018826309,4.000000018826309,1.000000009584103
"+primal_weight,1e-8,20",+primal_weight,1e-8,20,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,57,0.330576087,7009.0,-4.000000033463777,-3.99999997269777,6.751778489698385e-9,3.346377663859812e-8,3.346377663859812e-8,6.825557452572184e-9,6.825557452572184e-9,6.6927553277196236e-9,6.6927553277196236e-9,3.412778726286092e-9,3.412778726286092e-9,4.000000033463777,4.000000033463777,0.9999999931744425
"+primal_weight,1e-8,30",+primal_weight,1e-8,30,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,54,0.041314782,10298.0,-4.000000032880424,-3.999999968075888,7.20050394541331e-9,3.2880423717074336e-8,3.2880423717074336e-8,7.981027949632846e-9,7.981027949632846e-9,6.5760847434148674e-9,6.5760847434148674e-9,3.990513974816423e-9,3.990513974816423e-9,4.000000032880424,4.000000032880424,0.999999992018972
"+primal_weight,1e-8,40",+primal_weight,1e-8,40,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,54,0.027036016,11835.5,-3.999999942927969,-3.9999999228176475,2.234480189792079e-9,0.0,0.0,1.9295588127299368e-8,1.9295588127299368e-8,0.0,0.0,9.647794063649684e-9,9.647794063649684e-9,3.999999942927969,3.999999942927969,0.9999999807044119
