experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,self,TERMINATION_REASON_OPTIMAL,82,14.353843711,434.0,0.0,9.70467796224371e-10,9.704677952825635e-10,9.97456647698927e-5,1.3720160498437482e-5,1.1603469534392492e-6,3.144973964027028e-7,9.97456647698927e-5,1.3720160498437482e-5,2.120464409110863e-7,1.572486982013514e-7,0.0006430788106698787,0.004902379748145481,3.6620992307664086e-6
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,self,TERMINATION_REASON_OPTIMAL,73,12.715593477,389.00000098145574,0.0,1.4664733130454373e-9,1.4664733108948933e-9,9.94540052211232e-5,1.4071499623207601e-5,1.3975512039722694e-6,2.235755241288452e-7,9.94540052211232e-5,1.4071499623207601e-5,2.5539409390868777e-7,1.117877620644226e-7,0.0006271648896957117,0.004805889483665312,3.914782262639459e-6
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,self,TERMINATION_REASON_OPTIMAL,76,11.93975436,404.00000196302716,0.0,1.1359839223122237e-9,1.1359839210217642e-9,9.90266532115964e-5,1.4680800941312664e-5,1.0869228206372812e-6,1.7361255674694974e-7,9.90266532115964e-5,1.4680800941312664e-5,1.9862862136022437e-7,8.680627837347487e-8,0.0006435400156779523,0.004829927469558522,3.2446944787133107e-6
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,self,TERMINATION_REASON_OPTIMAL,71,8.444962861,379.00000272818806,0.0,1.3389308388946113e-9,1.3389308371018756e-9,9.908804415617567e-5,1.6028476819595814e-5,1.1811536171854922e-6,1.87838025670207e-7,9.908804415617567e-5,1.6028476819595814e-5,2.1584873382145033e-7,9.39190128351035e-8,0.0006294338511908183,0.004793181827339902,3.3496448468134666e-6
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,self,TERMINATION_REASON_OPTIMAL,69,7.056819195,369.00000343568956,0.0,1.3558851191098314e-9,1.3558851172714067e-9,9.99772769104388e-5,1.623298692606529e-5,1.1959215923670732e-6,1.9268096423248254e-7,9.99772769104388e-5,1.623298692606529e-5,2.1854749264305607e-7,9.634048211624127e-8,0.0006282284944498487,0.0047883400946971055,3.3124190545796663e-6
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,self,TERMINATION_REASON_OPTIMAL,68,8.707181634,364.000004128832,0.0,1.3648882992117956e-9,1.3648882973488757e-9,9.945983071545046e-5,1.6273516200673377e-5,1.1961996856285932e-6,1.926706303127392e-7,9.945983071545046e-5,1.6273516200673377e-5,2.1859831251738062e-7,9.63353151563696e-8,0.0006264787083392772,0.004785665956677185,3.288573591598198e-6
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,self,TERMINATION_REASON_OPTIMAL,67,8.147891168,359.0000047642988,0.0,1.3742052963011228e-9,1.3742052944126827e-9,9.904021544211142e-5,1.6300330453969e-5,1.1985621511833302e-6,1.9284700155676885e-7,9.904021544211142e-5,1.6300330453969e-5,2.190300389171201e-7,9.642350077838442e-8,0.0006251635457062858,0.0047830406932983325,3.2674462104488635e-6
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,self,TERMINATION_REASON_OPTIMAL,65,8.288677441,349.00000524101057,0.0,1.391296004263722e-9,1.3912960023280174e-9,9.996092787480364e-5,1.647885326333049e-5,1.218227631306551e-6,1.9786748513735777e-7,9.996092787480364e-5,1.647885326333049e-5,2.226237873701814e-7,9.893374256867888e-8,0.0006225578792582318,0.004778051889971204,3.238184068110916e-6
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,self,TERMINATION_REASON_OPTIMAL,62,7.764788923,334.00000658476074,0.0,1.4242489235444915e-9,1.4242489215160064e-9,9.947179941626928e-5,1.656500761579771e-5,1.2338405889304864e-6,2.005259284813213e-7,9.947179941626928e-5,1.656500761579771e-5,2.2547696166123147e-7,1.0026296424066065e-7,0.0006168847132999503,0.004770784420851324,3.187240267230932e-6
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,self,TERMINATION_REASON_OPTIMAL,59,7.0251152,319.0000081027841,0.0,1.4729388350589506e-9,1.4729388328894017e-9,9.899910864265273e-5,1.576174907206158e-5,1.2657385328692492e-6,2.0076779987389445e-7,9.899910864265273e-5,1.576174907206158e-5,2.3130611945282826e-7,1.0038389993694723e-7,0.0006093142619777913,0.004763181451497779,3.1389607845432755e-6
"+primal_weight,1e-4,20",+primal_weight,1e-4,20,self,TERMINATION_REASON_OPTIMAL,58,7.154109696,314.00000908647866,0.0,1.5101491077561092e-9,1.5101491054755588e-9,9.899864285210792e-5,1.5898101305984112e-5,1.3004106948883255e-6,2.0480996297382815e-7,9.899864285210792e-5,1.5898101305984112e-5,2.376422489467233e-7,1.0240498148691408e-7,0.000599599924137391,0.004759184492638295,3.1278593098846732e-6
"+primal_weight,1e-4,30",+primal_weight,1e-4,30,self,TERMINATION_REASON_OPTIMAL,58,7.539631836,314.00001031676646,0.0,1.5549612103454879e-9,1.5549612079275833e-9,9.986586329091737e-5,1.6017680574624982e-5,1.316178325779329e-6,2.0216795382126345e-7,9.986586329091737e-5,1.6017680574624982e-5,2.405236888489241e-7,1.0108397691063173e-7,0.0005934563409399739,0.0047573264259150394,3.1323546610135483e-6
"+primal_weight,1e-4,40",+primal_weight,1e-4,40,self,TERMINATION_REASON_OPTIMAL,58,7.424138817,314.0000104036845,0.0,1.559478454591367e-9,1.5594784521593937e-9,9.992852813875487e-5,1.6072880092400844e-5,1.3172370084687168e-6,2.0222943010900827e-7,9.992852813875487e-5,1.6072880092400844e-5,2.4071715675580613e-7,1.0111471505450414e-7,0.000593476489476356,0.00475719952246883,3.1327198888859366e-6
