experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-8,0",+primal_weight,1e-8,0,less_trivial_lp_model,TERMINATION_REASON_OPTIMAL,35,5.244203679,190.0,-3.9999999849158727,-3.999999945395424,4.39116099971014e-9,0.0,0.0,1.3651143992987613e-8,1.3651143992987613e-8,0.0,0.0,6.825571996493807e-9,6.825571996493807e-9,3.9999999849158727,3.9999999849158727,0.999999986348856
"+primal_weight,1e-8,1",+primal_weight,1e-8,1,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.18568079,32327.5,-4.000223259231017,-4.000135305019244,9.77230086395441e-6,0.00022325923101718104,0.00022325923101718104,0.0,0.0,4.465184620343621e-5,4.465184620343621e-5,0.0,0.0,4.000223259231017,4.000223259231017,1.000033826254811
"+primal_weight,1e-8,2",+primal_weight,1e-8,2,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.186207491,44202.5,-3.9996433842924044,-3.9997899053468813,1.6281142352103692e-5,0.0,0.0,5.2523663279679944e-5,5.2523663279679944e-5,0.0,0.0,2.6261831639839972e-5,2.6261831639839972e-5,3.9996433842924044,3.9996433842924044,0.9999474763367203
"+primal_weight,1e-8,3",+primal_weight,1e-8,3,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.17133109,60390.0,-4.0002978169591845,-4.000491893537149,2.156217223235e-5,0.0002978169591845159,0.0002978169591845159,0.0,0.0,5.956339183690318e-5,5.956339183690318e-5,0.0,0.0,4.0002978169591845,4.0002978169591845,1.0001229733842874
"+primal_weight,1e-8,4",+primal_weight,1e-8,4,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.195973484,80640.0,-4.000728440514208,-4.00047014501295,2.8695678559195997e-5,0.0007284405142078398,0.0007284405142078398,0.0,0.0,0.00014568810284156796,0.00014568810284156796,0.0,0.0,4.000728440514208,4.000728440514208,1.0001175362532375
"+primal_weight,1e-8,5",+primal_weight,1e-8,5,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.157134732,104702.5,-4.000279483679044,-3.999910355107023,4.1013420675899994e-5,0.00027948367904429006,0.00027948367904429006,2.2411223244200862e-5,2.2411223244200862e-5,5.589673580885801e-5,5.589673580885801e-5,1.1205611622100431e-5,1.1205611622100431e-5,4.000279483679044,4.000279483679044,0.9999775887767558
"+primal_weight,1e-8,6",+primal_weight,1e-8,6,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.158115649,132327.5,-3.999735276075038,-3.9993316878203413,4.484778881145094e-5,0.0,0.0,0.00016707804491467027,0.00016707804491467027,0.0,0.0,8.353902245733513e-5,8.353902245733513e-5,3.999735276075038,3.999735276075038,0.9998329219550853
"+primal_weight,1e-8,7",+primal_weight,1e-8,7,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.171510046,163265.0,-3.9998836604959154,-3.99976727897447,1.2931781713322645e-5,0.0,0.0,5.818025638248958e-5,5.818025638248958e-5,0.0,0.0,2.909012819124479e-5,2.909012819124479e-5,3.9998836604959154,3.9998836604959154,0.9999418197436175
"+primal_weight,1e-8,10",+primal_weight,1e-8,10,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.621693667,273452.5,-3.999752104786864,-3.9999709849304326,2.4320764248691832e-5,0.0,0.0,7.253767391857124e-6,7.253767391857124e-6,0.0,0.0,3.626883695928562e-6,3.626883695928562e-6,3.999752104786864,3.999752104786864,0.9999927462326081
"+primal_weight,1e-8,15",+primal_weight,1e-8,15,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.304034404,500015.0,-4.000066169462925,-4.000061988505025,4.645442627602306e-7,6.616946292492543e-5,6.616946292492543e-5,0.0,0.0,1.3233892584985086e-5,1.3233892584985086e-5,0.0,0.0,4.000066169462925,4.000066169462925,1.0000154971262563
"+primal_weight,1e-8,20",+primal_weight,1e-8,20,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.324425009,753140.0,-3.9996985277816197,-3.999704127945415,6.222817235315977e-7,0.0,0.0,7.396801364623062e-5,7.396801364623062e-5,0.0,0.0,3.698400682311531e-5,3.698400682311531e-5,3.9996985277816197,3.9996985277816197,0.9999260319863538
"+primal_weight,1e-8,30",+primal_weight,1e-8,30,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.702073279,1.2140775e6,-4.000038584733588,-3.999984392774527,6.021313411763074e-6,3.858473358775427e-5,3.858473358775427e-5,3.901806368222793e-6,3.901806368222793e-6,7.716946717550854e-6,7.716946717550854e-6,1.9509031841113966e-6,1.9509031841113966e-6,4.000038584733588,4.000038584733588,0.9999960981936318
"+primal_weight,1e-8,40",+primal_weight,1e-8,40,less_trivial_lp_model,TERMINATION_REASON_ITERATION_LIMIT,5000,0.352383902,1.406265e6,-3.999950636196862,-3.9999308558336995,2.197847069435354e-6,0.0,0.0,1.7286041575137467e-5,1.7286041575137467e-5,0.0,0.0,8.643020787568734e-6,8.643020787568734e-6,3.999950636196862,3.999950636196862,0.9999827139584249
