experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+step_size,1e-4,1",+step_size,1e-4,1,chrom1024-7,TERMINATION_REASON_OPTIMAL,160,6.845516021,192.5,2.999681479396493,2.9999644635881997,4.042835795006311e-5,0.011266894153908701,7.278227709850427e-5,0.0,0.0,8.238393297783935e-5,3.639113854925213e-5,0.0,0.0,0.7499203698491244,67.8921759148161,0.00017313150951597868
"+step_size,1e-4,2",+step_size,1e-4,2,chrom1024-7,TERMINATION_REASON_OPTIMAL,240,3.882412728,278.5,3.000024579421665,2.9998196195432647,2.9280634336221375e-5,0.0037154214650086358,2.7373060449087383e-5,0.0,0.0,2.716729462231686e-5,1.3686530224543692e-5,0.0,0.0,0.7500061450767024,67.89512392379964,0.0001731303901270054
"+step_size,1e-4,3",+step_size,1e-4,3,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,8,0.860869297,62.5,2.019791277257398,1.5372897248373123,0.10587952072791745,98.42462234170404,0.4203126513732894,0.0,0.0,0.7196843584045798,0.2101563256866447,0.0,0.0,0.5049478193143497,83.745669364101,0.00019052787801971058
"+step_size,1e-4,4",+step_size,1e-4,4,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,10,1.185976074,62.5,2.8397733685383626,2.247762324227919,0.09724970401634286,6.055562286809288,0.04396379112413312,0.0,0.0,0.04427848799898033,0.02198189556206656,0.0,0.0,0.7099433421345909,66.43572551269858,0.00015332042904372207
"+step_size,1e-4,5",+step_size,1e-4,5,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.01092282,61.5,2.600666157047742,2.3129218326934176,0.048658162329452206,17.793067264328727,0.1468862291257761,0.0,0.0,0.13010354414895337,0.07344311456288805,0.0,0.0,0.6501665392619359,58.99990108527678,0.00015477927190772893
"+step_size,1e-4,6",+step_size,1e-4,6,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.140990841,60.5,1.733033260373365,2.251156179429535,0.10395329577935533,46.40503227233559,0.2150856842000025,0.0,0.0,0.3393152555029804,0.10754284210000126,0.0,0.0,0.43325831509334134,54.94468003249573,0.00015402494955223418
"+step_size,1e-4,7",+step_size,1e-4,7,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.03032205,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
"+step_size,1e-4,10",+step_size,1e-4,10,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.110939461,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
"+step_size,1e-4,15",+step_size,1e-4,15,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.058913024,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
"+step_size,1e-4,20",+step_size,1e-4,20,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.124034721,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
"+step_size,1e-4,30",+step_size,1e-4,30,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.051222236,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
"+step_size,1e-4,40",+step_size,1e-4,40,chrom1024-7,TERMINATION_REASON_NUMERICAL_ERROR,9,1.01363359,58.5,1.7285095795317056,2.25106332191536,0.10493947025693712,47.077012102693224,0.21949931481918522,0.0,0.0,0.34422879605376633,0.10974965740959261,0.0,0.0,0.4321273948829266,55.421368677569504,0.0001540191755519101
