experiment_label    ,solver    ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+restarts,1e-4,1"  ,+restarts ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,  14.057274277 ,                      2435.0 ,213.99281674180904 ,214.00136821552763 ,1.9933775371449095e-5   ,0.00010289869579635475 ,2.0433080722637165e-5 ,0.00028724569256064717 ,1.5818410103562996e-5  ,2.057973915927095e-5        ,1.0216540361318582e-5          ,3.564736364066851e-7      ,7.333037796499397e-7         ,  0.24999490725147247 ,4.795678106275942  , 20.754832941863604
"+restarts,1e-4,2"  ,+restarts ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2480 ,  10.285029722 ,                      2895.0 ,213.99641591578987 ,214.0127699438812  ,3.812046135695506e-5    ,0.00019991666711064612 ,2.9374294618356167e-5 ,0.002683417254990742   ,0.0001468754856084331  ,3.998333342212922e-5        ,1.4687147309178084e-5          ,3.3301369930239472e-6     ,6.808797346221577e-6         ,  0.2499984581044189  ,4.795756164826522  , 20.767452512455293
"+restarts,1e-4,3"  ,+restarts ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2200 ,  11.600443982 ,                      2573.0 ,214.01777715810533 ,214.00895705376388 ,2.0558402631145054e-5   ,0.00032776781141594054 ,8.674972042466145e-5  ,0.0019365577669377943  ,0.00012806972114409731 ,6.555356228318811e-5        ,4.3374860212330724e-5          ,2.403279865184308e-6      ,5.937006940572797e-6         ,  0.2500219705629902  ,4.796206691474147  , 20.76672262305085
"+restarts,1e-4,4"  ,+restarts ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2160 ,  12.405518021 ,                      2527.0 ,214.0048469737514  ,213.99858691183815 ,1.4592102111056637e-5   ,6.837995562357608e-5   ,1.4255608008273413e-5 ,0.0                    ,0.0                    ,1.3675991124715216e-5       ,7.127804004136706e-6           ,0.0                       ,0.0                          ,  0.2500057353061463  ,4.7959350056849095 , 20.75407853306514
"+restarts,1e-4,5"  ,+restarts ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2000 ,  12.059339755 ,                      2343.0 ,213.9686774276936  ,213.99894443938305 ,7.055780004496262e-5    ,0.00045141822402827036 ,8.462846346846131e-5  ,0.0                    ,0.0                    ,9.028364480565408e-5        ,4.2314231734230656e-5          ,0.0                       ,0.0                          ,  0.24997885160450234 ,4.7951623572316615 , 20.751176691463108
"+restarts,1e-4,6"  ,+restarts ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1960 ,  12.688282583 ,                      2297.0 ,214.01176987064585 ,213.99376482302694 ,4.196926650787869e-5    ,0.00016646022401964818 ,3.3431917519033405e-5 ,0.0                    ,0.0                    ,3.3292044803929636e-5       ,1.6715958759516703e-5          ,0.0                       ,0.0                          ,  0.2500138967124073  ,4.7960828679740235 , 20.75144907993218
"+restarts,1e-4,7"  ,+restarts ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1960 ,  13.626177735 ,                      2297.0 ,214.00426468544046 ,213.99396774708788 ,2.4002286196368404e-5   ,6.031502435547155e-5   ,1.2113557341653092e-5 ,0.0                    ,0.0                    ,1.2063004871094311e-5       ,6.056778670826546e-6           ,0.0                       ,0.0                          ,  0.25000503531008594 ,4.795922595273317  , 20.751522077489224
"+restarts,1e-4,10" ,+restarts ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1920 ,  16.070380743 ,                      2251.0 ,213.99770784773824 ,213.99408212622996 ,8.451727033064117e-6    ,3.2830310233640605e-5  ,6.510702447837247e-6  ,0.0                    ,0.0                    ,6.566062046728121e-6        ,3.2553512239186233e-6          ,0.0                       ,0.0                          ,  0.24999837232441177 ,4.795782574612468  , 20.751878441296686
"+restarts,1e-4,15" ,+restarts ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1920 ,  14.893271046 ,                      2251.0 ,213.99770784773824 ,213.99408212622996 ,8.451727033064117e-6    ,3.2830310233640605e-5  ,6.510702447837247e-6  ,0.0                    ,0.0                    ,6.566062046728121e-6        ,3.2553512239186233e-6          ,0.0                       ,0.0                          ,  0.24999837232441177 ,4.795782574612468  , 20.751878441296686
"+restarts,1e-4,20" ,+restarts ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1920 ,  15.116675638 ,                      2251.0 ,213.99770784773824 ,213.99408212622996 ,8.451727033064117e-6    ,3.2830310233640605e-5  ,6.510702447837247e-6  ,0.0                    ,0.0                    ,6.566062046728121e-6        ,3.2553512239186233e-6          ,0.0                       ,0.0                          ,  0.24999837232441177 ,4.795782574612468  , 20.751878441296686
