experiment_label    ,solver    ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual  ,l2_dual_residual       ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+restarts,1e-4,1"  ,+restarts ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,  14.548672966 ,                      2331.0 ,213.99281674180904 ,214.00136821552763 ,1.9933775371449095e-5   ,0.00010289869579635475 ,2.0433080722637165e-5  ,0.00028724569256064717 ,1.5818410103562996e-5 ,2.057973915927095e-5        ,1.0216540361318582e-5          ,3.564736364066851e-7      ,7.333037796499397e-7         ,  0.24999490725147247 ,4.795678106275942  , 20.754832941863604
"+restarts,1e-4,2"  ,+restarts ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2000 ,   8.593428097 ,                      2243.0 ,213.96998533429723 ,213.99564216837484 ,5.981093223477123e-5    ,0.00042987074897453257 ,8.56178912588268e-5    ,0.0                    ,0.0                   ,8.597414979490651e-5        ,4.28089456294134e-5            ,0.0                       ,0.0                          ,  0.24997860578212655 ,4.795190583750692  , 20.7624922670908
"+restarts,1e-4,3"  ,+restarts ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,   9.858012467 ,                      2331.0 ,213.98791616400905 ,214.00238025912324 ,3.371660206487689e-5    ,0.00017306907838106702 ,3.4648841579776324e-5  ,0.0004992809037043013  ,2.761118182759148e-5  ,3.4613815676213403e-5       ,1.7324420789888162e-5          ,6.196106118956358e-7      ,1.2799885615694062e-6        ,  0.24999135451869853 ,4.795573488873646  , 20.76022554870859
"+restarts,1e-4,4"  ,+restarts ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1960 ,  10.513763589 ,                      2199.0 ,214.01641775755917 ,214.00196134851592 ,3.369647956194863e-5    ,0.00029414295905632454 ,6.843160364722323e-5   ,0.000413176752211545   ,2.4677005290296705e-5 ,5.882859181126491e-5        ,3.4215801823611613e-5          ,5.12754840730836e-7       ,1.1439671326854891e-6        ,  0.2503526148850721  ,4.796186353260319  , 20.760996571807453
"+restarts,1e-4,5"  ,+restarts ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1920 ,  11.783668947 ,                      2155.0 ,214.03063903059586 ,214.00143288892428 ,6.80744950859018e-5     ,0.00044236605517273734 ,9.133739234590266e-5   ,0.0003249411986925972  ,2.6078963407727418e-5 ,8.847321103454747e-5        ,4.566869617295133e-5           ,4.032539868003107e-7      ,1.2089585685941644e-6        ,  0.25031464477830395 ,4.796488071611847  , 20.763593130315513
"+restarts,1e-4,6"  ,+restarts ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2240 ,  15.460129674 ,                      2507.0 ,213.97220272758398 ,213.99957631245658 ,6.381208790439136e-5    ,0.0003981379767606839  ,7.895879875352563e-5   ,0.0                    ,0.0                   ,7.962759535213679e-5        ,3.9479399376762814e-5          ,0.0                       ,0.0                          ,  0.25023133660364133 ,4.795239895168451  , 20.759638703220006
"+restarts,1e-4,7"  ,+restarts ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2640 ,  19.993373276 ,                      2947.0 ,214.03389390110647 ,213.99971644767174 ,7.966148248137984e-5    ,0.0004821681060747268  ,0.00010688570718664359 ,3.833927574958785e-5   ,7.1547078803746444e-6 ,9.643362121494536e-5        ,5.344285359332179e-5           ,4.75792723707029e-8       ,3.316751997590566e-7         ,  0.25005653151625273 ,4.796554668455446  , 20.762148768350237
"+restarts,1e-4,10" ,+restarts ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2360 ,  24.800504784 ,                      2639.0 ,213.9749702156014  ,213.99855607874844 ,5.498209493437092e-5    ,0.00035849495768992286 ,7.112063293757132e-5   ,0.0                    ,0.0                   ,7.169899153798458e-5        ,3.556031646878566e-5           ,0.0                       ,0.0                          ,  0.2499953424241569  ,4.795297025879273  , 20.751200439061673
"+restarts,1e-4,15" ,+restarts ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  19.421900756 ,                      1979.0 ,214.011972613475   ,213.99941982881296 ,2.9259793290274913e-5   ,0.0002513593864060102  ,3.956586881370683e-5   ,0.00011058747597464407 ,2.3104114902139372e-5 ,5.027187728120204e-5        ,1.9782934406853414e-5          ,1.3723972446826195e-7     ,1.0710516842264158e-6        ,  0.25002389539936154 ,4.7960825617462275 , 20.742989768622376
"+restarts,1e-4,20" ,+restarts ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  22.238235447 ,                      1979.0 ,213.96562341693135 ,214.0003025207976  ,8.084349308264885e-5    ,0.0004923458698087942  ,9.769990920716065e-5   ,6.365086715623206e-5   ,4.116834392942081e-6  ,9.846917396175883e-5        ,4.8849954603580326e-5          ,7.899110992179734e-8      ,1.9084662749117292e-7        ,  0.24997560119292073 ,4.795097464075254  , 20.74294521095461
