experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+restarts,1e-8,1",+restarts,1e-8,1,nug08-3rd,TERMINATION_REASON_OPTIMAL,2680,14.442767165,2924.0,213.9999980370642,213.9999996222275,3.6950194093003706e-9,2.8120267010939866e-8,5.577179162941093e-9,0.0,0.0,5.624053402187973e-9,2.7885895814705464e-9,0.0,0.0,0.24999999860607902,4.795831481386507,20.75474739560507
"+restarts,1e-8,2",+restarts,1e-8,2,nug08-3rd,TERMINATION_REASON_OPTIMAL,2600,9.679474807,2838.0,214.000000953795,214.00000163829327,1.5955670648345533e-9,1.3462890717991262e-8,2.7522026879722716e-9,3.4386227433513293e-7,1.8914882105036668e-8,2.6925781435982524e-9,1.3761013439861358e-9,4.267351557567315e-10,8.768488393237565e-10,0.2501731296335125,4.795832531254859,20.753533184842176
"+restarts,1e-8,3",+restarts,1e-8,3,nug08-3rd,TERMINATION_REASON_OPTIMAL,2640,11.171923319,2881.0,213.9999990648535,214.00000046110566,3.2546670082908554e-9,1.3399948294693844e-8,2.6575694977992725e-9,9.672128887266628e-8,5.311417972109211e-9,2.6799896589387687e-9,1.3287847488996363e-9,1.2003170266896592e-10,2.4622467420863015e-10,0.24999999933632494,4.795831503333923,20.762292667559475
"+restarts,1e-8,4",+restarts,1e-8,4,nug08-3rd,TERMINATION_REASON_OPTIMAL,2920,13.934816808,3182.0,214.00000332523672,214.00000037073113,6.886959356783626e-9,4.702282250303286e-8,9.443978710166334e-9,7.774791173637451e-8,4.2694987545388585e-9,9.404564500606572e-9,4.721989355083167e-9,9.648562724344363e-11,1.979237833269257e-10,0.25088089927117563,4.795848123746642,20.76121899797994
"+restarts,1e-8,5",+restarts,1e-8,5,nug08-3rd,TERMINATION_REASON_OPTIMAL,2760,15.067986633,3010.0,213.9999981302533,214.00000138120453,7.57797492235344e-9,2.6785957790717385e-8,5.312030926241107e-9,2.8988831973374076e-7,1.5918791618219075e-8,5.357191558143477e-9,2.6560154631205535e-9,3.5975315266213216e-10,7.379572273493206e-10,0.25019259674623673,4.795832044754371,20.760316369411125
"+restarts,1e-8,6",+restarts,1e-8,6,nug08-3rd,TERMINATION_REASON_OPTIMAL,2560,16.132399326,2795.0,214.0000018578184,214.0000003832926,3.4371230985999637e-9,2.6269249750984098e-8,5.275930359260883e-9,8.038508541966404e-8,4.414514087613952e-9,5.25384995019682e-9,2.6379651796304415e-9,9.97583756851622e-11,2.046463484365007e-10,0.2502674403460049,4.795835197406948,20.76493097968031
"+restarts,1e-8,7",+restarts,1e-8,7,nug08-3rd,TERMINATION_REASON_OPTIMAL,2480,17.564637754,2709.0,213.99999816849368,213.99999430980444,8.994613771066354e-9,2.6238239751592855e-8,5.203404485065732e-9,0.0,0.0,5.247647950318571e-9,2.601702242532866e-9,0.0,0.0,0.250082975794486,4.795831705246287,20.76557878976521
"+restarts,1e-8,10",+restarts,1e-8,10,nug08-3rd,TERMINATION_REASON_OPTIMAL,2720,25.102105126,2967.0,213.99999949019406,214.00000016342148,1.569294683555131e-9,7.307636580221656e-9,1.4492052002879063e-9,3.422499507653001e-8,1.8794228395790924e-9,1.4615273160443312e-9,7.246026001439532e-10,4.247342524851144e-11,8.7125562101424e-11,0.25040528532013484,4.795835033116005,20.759146795466524
"+restarts,1e-8,15",+restarts,1e-8,15,nug08-3rd,TERMINATION_REASON_OPTIMAL,3360,45.078708272,3655.0,214.00000044970668,214.00000037571346,1.7247836899136092e-10,6.354374793553586e-9,1.2762970680313401e-9,7.87939093735963e-8,4.326992542047492e-9,1.2708749587107172e-9,6.381485340156701e-10,9.778371661804592e-11,2.0058905824459742e-10,0.2502475706487052,4.795832785195595,20.762945005607886
"+restarts,1e-8,20",+restarts,1e-8,20,nug08-3rd,TERMINATION_REASON_OPTIMAL,3120,46.468694847,3397.0,213.9999974899645,213.9999995288278,4.752595138884881e-9,3.595688314673479e-8,7.130828594270611e-9,0.0,0.0,7.1913766293469576e-9,3.5654142971353053e-9,0.0,0.0,0.25003568051066033,4.7958314910755835,20.744942351314403
"+restarts,1e-8,30",+restarts,1e-8,30,nug08-3rd,TERMINATION_REASON_OPTIMAL,2400,38.923158728,2623.0,214.00000307338252,214.00000036375465,6.316148817240701e-9,4.346088788251029e-8,8.728641587296693e-9,7.628326057270415e-8,4.189053104397544e-9,8.692177576502058e-9,4.364320793648346e-9,9.466798631826032e-11,1.9419451477725428e-10,0.2500000036284086,4.795831588935967,20.72743675507455
"+restarts,1e-8,40",+restarts,1e-8,40,nug08-3rd,TERMINATION_REASON_OPTIMAL,2480,36.702693191,2709.0,213.99999748426245,214.00000042648068,6.858317587778235e-9,3.604283446188968e-8,7.152705761015454e-9,8.945206929312235e-8,4.915332585397891e-9,7.208566892377936e-9,3.576352880507727e-9,1.1101055734121974e-10,2.278630999898598e-10,0.24999999821521748,4.7958314695743525,20.726231765599355
