experiment_label   ,solver   ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+scaling,1e-4,1"  ,+scaling ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2240 ,  13.889586398 ,                      2451.0 ,214.01010029419467 ,214.0051626463699  ,1.1509259113340621e-5   ,0.0001459061828456956  ,2.9995661398718454e-5 ,0.0011840306880436784  ,9.354346442536077e-5   ,2.918123656913912e-5        ,1.4997830699359227e-5          ,1.4693892229382172e-6     ,4.3364519933147995e-6        ,  0.2500118709733296  ,4.7960490453788225 , 20.540053747821844
"+scaling,1e-4,2"  ,+scaling ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,   8.158044219 ,                      2279.0 ,214.02274310570158 ,213.99648285358467 ,6.120996572634938e-5    ,0.00032868089252515977 ,6.835443720243362e-5  ,0.0                    ,0.0                    ,6.573617850503196e-5        ,3.417721860121681e-5           ,0.0                       ,0.0                          ,  0.2502334693379834  ,4.796322620317067  , 20.557298709949627
"+scaling,1e-4,3"  ,+scaling ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2000 ,   9.444989375 ,                      2193.0 ,214.00677440067682 ,214.00257523280834 ,9.788056768612477e-6    ,0.00010305301435834332 ,2.1483473554795296e-5 ,0.0006476601586055122  ,5.843374398062373e-5   ,2.0610602871668664e-5       ,1.0741736777397648e-5          ,8.037501618761165e-7      ,2.7088490587582297e-6        ,  0.2500452442160824  ,4.795973740069781  , 20.544438433766413
"+scaling,1e-4,4"  ,+scaling ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2040 ,  10.053895124 ,                      2236.0 ,213.9814292541259  ,214.00499606537517 ,5.493603027578596e-5    ,0.000268303128364657   ,5.5390947272693225e-5 ,0.0011505886989000586  ,9.151802798834652e-5   ,5.3660625672931404e-5       ,2.7695473636346613e-5          ,1.4278875127735572e-6     ,4.242557588948035e-6         ,  0.24999108569412487 ,4.795432230415892  , 20.55043915506847
"+scaling,1e-4,5"  ,+scaling ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1800 ,   9.806528141 ,                      1978.0 ,214.02984364417748 ,214.0008714269934  ,6.752947088944522e-5    ,0.00044756769163418835 ,8.782804862184079e-5  ,0.0003193763640342432  ,3.363374664344665e-5   ,8.951353832683766e-5        ,4.3914024310920396e-5          ,3.9634799343629677e-7     ,1.5591803080053253e-6        ,  0.25008172588244004 ,4.796479521906851  , 20.558995892404777
"+scaling,1e-4,6"  ,+scaling ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1880 ,  12.125895223 ,                      2064.0 ,214.00599991052763 ,213.99642397323652 ,2.2321406029426178e-5   ,9.553737547680064e-5   ,1.723579726209401e-5  ,0.0                    ,0.0                    ,1.910747509536013e-5        ,8.617898631047005e-6           ,0.0                       ,0.0                          ,  0.25047916681089083 ,4.79596782441631   , 20.547353882037644
"+scaling,1e-4,7"  ,+scaling ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  13.271590583 ,                      1935.0 ,214.0106744141185  ,214.00612340917053 ,1.0607987778275726e-5   ,0.00015874182065840904 ,3.405373081788454e-5  ,0.001419256750250215   ,0.00014020887291010808 ,3.1748364131681806e-5       ,1.702686540894227e-5           ,1.7613061844247165e-6     ,6.499749075432158e-6         ,  0.25026329766013233 ,4.796059846984713  , 20.539897327812778
"+scaling,1e-4,10" ,+scaling ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  18.483083608 ,                      1935.0 ,214.01993600258263 ,214.00024328444195 ,4.5901612771226033e-5   ,0.00037086242239758903 ,7.592369038400548e-5  ,0.0003798913002420599  ,5.914035292775566e-5   ,7.41724844795178e-5         ,3.796184519200274e-5           ,4.71447394143113e-7       ,2.741605764917314e-6         ,  0.2502002687078584  ,4.7962419686880935 , 20.55691428284239
"+scaling,1e-4,15" ,+scaling ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2320 ,  29.786128365 ,                      2537.0 ,213.9941860174414  ,214.0004758270753  ,1.4661743357958178e-5   ,0.00031622311858507115 ,3.018045180355755e-5  ,0.00039261138585354157 ,0.00013409898862537517 ,6.324462371701423e-5        ,1.5090225901778775e-5          ,4.872330970823203e-7      ,6.216509406597853e-6         ,  0.25029143384933017 ,4.795719829334577  , 20.547821910799613
"+scaling,1e-4,20" ,+scaling ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  24.200249968 ,                      1935.0 ,214.00067013661544 ,213.9999352871117  ,1.7129334887943707e-6   ,0.0001410983572875813  ,1.2447365310919167e-5 ,0.00040251681751250486 ,4.718897142974576e-5   ,2.8219671457516262e-5       ,6.223682655459584e-6           ,4.995257974955842e-7      ,2.187568212018431e-6         ,  0.25004198411303874 ,4.795837356240473  , 20.527044242586403
