experiment_label   ,solver   ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual    ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+scaling,1e-8,1"  ,+scaling ,1e-8      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           3120 ,  14.692693545 ,                      3397.0 ,213.99999787511177 ,213.99999964718322 ,4.130702686966682e-9    ,3.0820457613391393e-8 ,6.3113688719695915e-9 ,0.0                   ,0.0                   ,6.164091522678279e-9        ,3.1556844359847958e-9          ,0.0                       ,0.0                          ,  0.24999999842215834 ,4.795831477542092  , 20.539731060163348
"+scaling,1e-8,2"  ,+scaling ,1e-8      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2760 ,  10.507207779 ,                      3010.0 ,214.00000299292105 ,214.00000260849362 ,8.96101241070588e-10    ,4.3229196918540646e-8 ,8.887052427297704e-9  ,5.981550790463092e-7  ,4.7256421997765585e-8 ,8.645839383708129e-9        ,4.443526213648852e-9           ,7.423140596538163e-10     ,2.190695059542591e-9         ,  0.2502060909796205  ,4.795832822992389  , 20.557519047388855
"+scaling,1e-8,3"  ,+scaling ,1e-8      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2800 ,  11.523485388 ,                      3053.0 ,213.99999923435803 ,214.00000081946845 ,3.694896095433014e-9    ,1.1108970597261863e-8 ,2.274880617214592e-9  ,1.8784983728606756e-7 ,1.4840761730638974e-8 ,2.2217941194523727e-9       ,1.137440308607296e-9           ,2.3312278070673024e-10    ,6.879823318975945e-10        ,  0.25003760468549996 ,4.795831533016685  , 20.544277528569964
"+scaling,1e-8,4"  ,+scaling ,1e-8      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2840 ,  12.902522883 ,                      3096.0 ,214.00000021662873 ,214.00000047955427 ,6.128800435705475e-10   ,3.1235821100305604e-9 ,6.421247977783651e-10 ,1.098919782249457e-7  ,8.681832142087842e-9  ,6.247164220061121e-10       ,3.2106239888918253e-10         ,1.3637660756740432e-10    ,4.024690397074325e-10        ,  0.2500049253279257  ,4.7958315283693835 , 20.550126935067578
"+scaling,1e-8,5"  ,+scaling ,1e-8      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  13.530322795 ,                      2838.0 ,213.99999883728663 ,213.999999423598   ,1.366693215322197e-9    ,1.6867211291849552e-8 ,3.4540439397545697e-9 ,0.0                   ,0.0                   ,3.3734422583699103e-9       ,1.7270219698772848e-9          ,0.0                       ,0.0                          ,  0.2500462612867566  ,4.795831526133374  , 20.558941191561505
"+scaling,1e-8,6"  ,+scaling ,1e-8      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2680 ,  16.779484133 ,                      2924.0 ,213.99999787627178 ,214.00000015928683 ,5.321713427393425e-9    ,3.080363606823605e-8  ,6.307924405035692e-9  ,3.644001773340402e-8  ,2.8788860184647547e-9 ,6.160727213647211e-9        ,3.153962202517846e-9           ,4.522228172110194e-11     ,1.33458292249362e-10         ,  0.2504718144010769  ,4.7958366326771875 , 20.547577382530704
"+scaling,1e-8,7"  ,+scaling ,1e-8      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2520 ,  17.624120485 ,                      2752.0 ,214.00000330182974 ,214.00000133527047 ,4.584054186884238e-9    ,4.769156433956621e-8  ,9.804100642440972e-9  ,3.061468118984719e-7  ,2.418661049219395e-8  ,9.538312867913242e-9        ,4.902050321220486e-9           ,3.799300394686336e-10     ,1.1212335989981548e-9        ,  0.250249655555032   ,4.795832450818495  , 20.539514607848673
"+scaling,1e-8,10" ,+scaling ,1e-8      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2360 ,  20.88764302  ,                      2580.0 ,213.99999958883237 ,214.0000012806285  ,3.9435807453344565e-9   ,5.968462041435446e-9  ,1.2222133305428429e-9 ,2.9361491637569414e-7 ,2.3196548015746998e-8 ,1.193692408287089e-9        ,6.111066652714214e-10          ,3.6437788156419425e-10    ,1.0753366630030134e-9        ,  0.25017260808542346 ,4.795832142277013  , 20.556899054095982
"+scaling,1e-8,15" ,+scaling ,1e-8      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           3000 ,  31.395093237 ,                      3268.0 ,213.99999985147036 ,213.99999975306244 ,2.2938909948355415e-10  ,2.1597208986785086e-9 ,4.422994193120644e-10 ,0.0                   ,0.0                   ,4.319441797357017e-10       ,2.211497096560322e-10          ,0.0                       ,0.0                          ,  0.2502828873456039  ,4.795833455831472  , 20.54779093229459
"+scaling,1e-8,20" ,+scaling ,1e-8      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2160 ,  26.302317269 ,                      2365.0 ,214.00000124268328 ,214.0000006698005  ,1.3353910965872323e-9   ,1.7988454111749442e-8 ,3.826247096938573e-9  ,1.5352598663325268e-7 ,1.2243708158443667e-8 ,3.5976908223498883e-9       ,1.9131235484692866e-9          ,1.9052667509200269e-10    ,5.675891199391287e-10        ,  0.25003759995584274 ,4.795831578822476  , 20.52704892251653
