experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2000 ,  10.341208513 ,                      2170.5 ,214.02666074683714 ,213.99945213102973 ,6.341948657832843e-5    ,0.0003851339633351494  ,7.917316553940346e-5  ,0.0                   ,0.0                    ,7.702679266702988e-5        ,3.958658276970173e-5           ,0.0                       ,0.0                          ,  0.2500313328740306  , 4.796405694805171 , 23.1265669730568
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1000 ,   3.86425834  ,                      1095.5 ,213.99985628308485 ,214.0002287920928  ,8.683191936438224e-7    ,3.813843658374939e-5   ,5.66003087854039e-6   ,7.405621514165092e-5  ,1.4561450263128606e-5  ,7.627687316749878e-6        ,2.830015439270195e-6           ,9.190420951042247e-8      ,6.75034118171691e-7          ,  0.2500029157014301  , 4.795827288980979 , 20.458272027435818
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1240 ,   5.422973526 ,                      1353.5 ,213.9792205096709  ,214.00740980462362 ,6.571136012340939e-5    ,0.00031010068835116746 ,6.455376849312522e-5  ,0.001637906187509442  ,0.00011907901314578417 ,6.20201376702335e-5         ,3.227688424656261e-5           ,2.0326514544033625e-6     ,5.520219152563245e-6         ,  0.24998386155831995 , 4.795391786749856 , 21.44714624274126
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1400 ,   6.615311997 ,                      1525.5 ,213.99815158641923 ,213.9816402336008  ,3.848981498256589e-5    ,0.00011664022199845046 ,8.330058272165708e-6  ,0.0                   ,0.0                    ,2.3328044399690092e-5       ,4.165029136082854e-6           ,0.0                       ,0.0                          ,  0.2500002099528119  , 4.795799411408534 , 22.936982723122867
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1080 ,   5.71464751  ,                      1181.5 ,214.02227846861476 ,213.99329217220657 ,6.756467222132535e-5    ,0.00033244221140792417 ,7.429944326031723e-5  ,0.0                   ,0.0                    ,6.648844228158483e-5        ,3.7149721630158616e-5          ,0.0                       ,0.0                          ,  0.25002947854548074 , 4.796311878091    , 18.062605469857747
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1320 ,   8.384775206 ,                      1439.5 ,214.0086829468343  ,213.9950038984382  ,3.188561967078651e-5    ,0.00015679567267898735 ,2.8048219084642056e-5 ,4.520196528079461e-5  ,2.26009846016062e-5    ,3.135913453579747e-5        ,1.4024109542321028e-5          ,5.609591145730244e-8      ,1.0477277630091826e-6        ,  0.25001319134838396 , 4.796017477929953 , 19.922834275016942
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1000 ,   7.300357926 ,                      1095.5 ,213.99716237962372 ,213.9971383910152  ,5.5918245242823375e-8   ,6.791065748996757e-5   ,1.0066231494132438e-5 ,0.0                   ,0.0                    ,1.3582131497993514e-5       ,5.033115747066219e-6           ,0.0                       ,0.0                          ,  0.2499991779210252  , 4.79577340157776  , 24.389336593042074
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1160 ,  10.195743667 ,                      1267.5 ,214.00007450617844 ,213.99996998710446 ,2.4363417979394583e-7   ,0.00011710102563822874 ,9.372056944789708e-6  ,0.0002442783117212838 ,3.916996348141133e-5   ,2.3420205127645748e-5       ,4.686028472394854e-6           ,3.031508577145558e-7      ,1.815826121690906e-6         ,  0.250007497965478   , 4.795843685888182 , 24.796312251542073
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1080 ,  13.028290436 ,                      1181.5 ,213.99881562344973 ,214.00006256638358 ,2.9066344861043293e-6   ,0.00017839825139513504 ,3.275651952017178e-5  ,0.0007494794479078284 ,0.0001674406102786241  ,3.5679650279027005e-5       ,1.637825976008589e-5           ,9.301085138165122e-7      ,7.762147496514274e-6         ,  0.25000818913004547 , 4.795822443691518 , 23.779811633575996
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1040 ,  13.160784024 ,                      1138.5 ,214.00223324609135 ,213.99972207475486 ,5.853519559405062e-6    ,9.392870417148768e-5   ,9.252458238462324e-6  ,0.002257841969241753  ,0.0009434850157590269  ,1.8785740834297537e-5       ,4.626229119231162e-6           ,2.8019954974165726e-6     ,4.373771596320796e-5         ,  0.25000613047486214 , 4.79587846407054  , 23.366037997792194
"+step_size,1e-4,30" ,+step_size ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1440 ,  22.553745585 ,                      1568.5 ,214.00642974803185 ,214.00016544836103 ,1.4601872654079035e-5   ,0.0001088576528022318  ,2.6464794890879162e-5 ,5.2314318403536034e-5 ,8.000951412290291e-6   ,2.177153056044636e-5        ,1.3232397445439581e-5          ,6.492238456633531e-8      ,3.709050323651971e-7         ,  0.25001160429832014 , 4.79596802463676  , 23.206460428918824
"+step_size,1e-4,40" ,+step_size ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,            920 ,  14.081081509 ,                      1009.5 ,213.98850438357772 ,214.0034259366049  ,3.478282916896888e-5    ,0.00017659365678327526 ,2.851615233923077e-5  ,0.0007840365228587229 ,6.557922903605018e-5   ,3.531873135665505e-5        ,1.4258076169615386e-5          ,9.72994052191375e-7       ,3.0400967103408715e-6        ,  0.24999543733656515 , 4.795590672989307 , 23.17693850146024
