experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual  ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2000 ,  10.656072332 ,                      2170.5 ,214.02666074683714 ,213.99945213102973 ,6.341948657832843e-5    ,0.0003851339633351494  ,7.917316553940346e-5   ,0.0                    ,0.0                    ,7.702679266702988e-5        ,3.958658276970173e-5           ,0.0                       ,0.0                          ,  0.2500313328740306  ,4.796405694805171  , 23.1265669730568
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  20.909768677 ,                      5499.5 ,213.86800918924405 ,214.01320476604036 ,0.00033854496786480737  ,0.0019177514378030727  ,0.00039731315151292357 ,0.0030872111638429026  ,0.0002840356367401764  ,0.00038355028756061456      ,0.00019865657575646178         ,3.831247668572226e-6      ,1.3167214948481699e-5        ,  0.2499077300607515  ,4.792989095435871  , 20.449979876969955
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1240 ,   6.255602348 ,                      1353.5 ,213.9801048018497  ,214.0076079789849  ,6.41118062727661e-5     ,0.00029927611646235496 ,6.201360701951764e-5   ,0.0017142516951298558  ,0.00013096021554959147 ,5.9855223292470995e-5       ,3.100680350975882e-5           ,2.1273966896831472e-6     ,6.0710033699692274e-6        ,  0.24998449659832084 ,4.795411065630655  , 21.447158624416854
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1240 ,   7.393679953 ,                      1353.5 ,214.0237210754044  ,214.01880429463597 ,1.1459891450618325e-5   ,0.00044501644009747497 ,6.483249414168668e-5   ,0.004669553607163797   ,0.0005250438778361399  ,8.900328801949499e-5        ,3.241624707084334e-5           ,5.7949441814177425e-6     ,2.433978241672847e-5         ,  0.2500317467481865  ,4.796358293103026  , 22.939726402832832
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1080 ,   6.966384756 ,                      1181.5 ,214.0271054597073  ,213.9916611994932  ,8.261703908688901e-5    ,0.0004037346522590215  ,8.87921538270664e-5    ,0.00013777414544130143 ,5.4421824428940724e-5  ,8.07469304518043e-5         ,4.43960769135332e-5            ,1.7097854519755723e-7     ,2.522866033179826e-6         ,  0.25003665978954404 ,4.796411054184826  , 18.062513664356043
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1280 ,  10.041629372 ,                      1396.5 ,213.9849422816033  ,214.00945197409732 ,5.713289689141771e-5    ,0.0003147155120741711  ,5.622583256637004e-5   ,0.00252372425504001    ,0.00036668957802654667 ,6.294310241483422e-5        ,2.811291628318502e-5           ,3.1319570172211388e-6     ,1.6998854610839892e-5        ,  0.24999012724783704 ,4.7955059389008525 , 19.92412091907094
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1000 ,   8.762657995 ,                      1095.5 ,213.9967168351518  ,213.99711103893108 ,9.18903148870906e-7     ,8.294548616419956e-5   ,2.5791784726836298e-5  ,0.0                    ,0.0                    ,1.658909723283991e-5        ,1.2895892363418149e-5          ,0.0                       ,0.0                          ,  0.2500001058635154  ,4.795759588596418  , 24.387775058326664
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1120 ,  16.245080018 ,                      1224.5 ,213.99953885047637 ,214.0008691165221  ,3.1008503046211335e-6   ,0.00041882797930351136 ,2.983939960662929e-5   ,0.0009508444725065167  ,0.00023873188197653938 ,8.376559586070227e-5        ,1.4919699803314646e-5          ,1.180003723467604e-6      ,1.1067040886549516e-5        ,  0.2500230154275637  ,4.79585011979298   , 24.79928352811884
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1080 ,  26.278943849 ,                      1181.5 ,213.99978006479483 ,214.00000030876015 ,5.133894593705362e-7    ,0.0002724422194785653  ,5.50460980615064e-5    ,0.0007757273196073181  ,0.0002632572192347027  ,5.448844389571306e-5        ,2.75230490307532e-5            ,9.626822808563005e-7      ,1.220397705085782e-5         ,  0.25001527842039223 ,4.795825900538141  , 23.767999911748245
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1000 ,  26.764499433 ,                      1095.5 ,214.00510221603895 ,213.99970709337776 ,1.2575902516964945e-5   ,0.00024689484110209964 ,2.097429479896995e-5   ,0.0012481196724156668  ,0.0002603875197935146  ,4.937896822041993e-5        ,1.0487147399484975e-5          ,1.5489240389663823e-6     ,1.2070944626429239e-5        ,  0.2500182119043717  ,4.7959460403705645 , 23.364326737610455
"+step_size,1e-4,30" ,+step_size ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1480 ,  41.938751595 ,                      1611.5 ,214.01167995294315 ,213.99999383896295 ,2.7239617693649113e-5   ,0.00020601802123000135 ,5.229903860026752e-5   ,0.00012166662312090576 ,2.9027222862465507e-5  ,4.120360424600027e-5        ,2.614951930013376e-5           ,1.5098901287814398e-7     ,1.3456328479555992e-6        ,  0.2500232782495416  ,4.796082949828822  , 23.211763726660934
"+step_size,1e-4,40" ,+step_size ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,            920 ,  29.959465339 ,                      1009.5 ,213.98335453104767 ,214.00298363042208 ,4.5756933562356144e-5   ,0.0002488484519069432  ,5.7122832994194184e-5  ,0.0006917403228773529  ,5.6768459357980916e-5  ,4.9769690381388644e-5       ,2.8561416497097092e-5          ,8.584539115174431e-7      ,2.6316504338659694e-6        ,  0.24998686099738637 ,4.7954691815611525 , 23.176893756344505
