experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2000 ,  12.8187486   ,                      2170.5 ,214.02666074683714 ,213.99945213102973 ,6.341948657832843e-5    ,0.0003851339633351494  ,7.917316553940346e-5  ,0.0                    ,0.0                    ,7.702679266702988e-5        ,3.958658276970173e-5           ,0.0                       ,0.0                          ,  0.2500313328740306  , 4.796405694805171 , 23.1265669730568
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_NUMERICAL_ERROR ,           2338 ,   9.604603219 ,                      2879.5 ,215.3178908397934  ,214.51388609377517 ,0.0018661686279055375   ,0.05622815925114163    ,0.00764455214732096   ,0.12399144067862254    ,0.013751035533596578   ,0.011245631850228326        ,0.00382227607366048            ,0.0001538741254846853     ,0.0006374652234244268        ,  0.25262121998289583 , 4.819169538870933 , 20.51896082618078
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1240 ,   5.97576485  ,                      1353.5 ,213.9866339682584  ,214.0056821123172  ,4.440206349811791e-5    ,0.00019895293298322024 ,3.903470278943111e-5  ,0.001299150578361868   ,0.00010209828435847612 ,3.9790586596644045e-5       ,1.9517351394715554e-5          ,1.6122537009348698e-6     ,4.7330330498247155e-6        ,  0.24999024132437056 , 4.795541873004101 , 21.447095139881757
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1440 ,   7.217938127 ,                      1568.5 ,213.98874789161317 ,213.99902565816222 ,2.3958180588705228e-5   ,0.00019945354849252914 ,3.0845065290829865e-5 ,1.355639313813497e-5   ,1.288624689399498e-6   ,3.989070969850583e-5        ,1.5422532645414933e-5          ,1.6823565622274058e-8     ,5.973756838394502e-8         ,  0.2499922895842126  , 4.795582173885372 , 22.93492025274026
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1120 ,   6.308207254 ,                      1224.5 ,213.99286430529986 ,213.98646123716165 ,1.4926286086433615e-5   ,0.00010372593161851583 ,2.1154773816478567e-5 ,0.0                    ,0.0                    ,2.0745186323703166e-5       ,1.0577386908239284e-5          ,0.0                       ,0.0                          ,  0.24999471590900865 , 4.795677723829388 , 18.06242469551199
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1320 ,   8.701954838 ,                      1439.5 ,214.0103104269529  ,213.99522411854883 ,3.516576638122419e-5    ,0.0001946788968970066  ,3.7866827343524534e-5 ,4.121359075992537e-5   ,2.0606795385957888e-5  ,3.893577937940132e-5        ,1.8933413671762267e-5          ,5.114631462912424e-8      ,9.552819053282853e-7         ,  0.250018837173244   , 4.796054994706502 , 19.922571113741824
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1000 ,   7.513047165 ,                      1095.5 ,214.003412549045   ,213.99597927825593 ,1.732699609996491e-5    ,9.571417571452657e-5   ,1.2601067489459439e-5 ,0.0                    ,0.0                    ,1.9142835142905315e-5       ,6.300533744729719e-6           ,0.0                       ,0.0                          ,  0.25000633693568414 , 4.795910541781259 , 24.392438360621096
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,            960 ,   8.7740713   ,                      1052.5 ,213.98355104424124 ,213.998259831868   ,3.4287672003466896e-5   ,0.0004432567549590341  ,4.013594486118599e-5  ,1.330840867445809e-5   ,4.2872443444252895e-6  ,8.865135099180682e-5        ,2.0067972430592995e-5          ,1.6515815407636476e-8     ,1.987464265667104e-7         ,  0.24999072960094154 , 4.795450942696844 , 24.737485601343483
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1040 ,  11.454282465 ,                      1138.5 ,213.99944939918595 ,213.99997523589622 ,1.2257282412773589e-6   ,0.00012450582375716772 ,1.317743695095075e-5  ,0.00022055801123841256 ,3.739108724731821e-5   ,2.4901164751433542e-5       ,6.588718475475375e-6           ,2.7371382179450253e-7     ,1.7333616605061429e-6        ,  0.25000400308278714 , 4.795821828955662 , 23.816961170494793
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1000 ,  13.170983033 ,                      1095.5 ,213.9920410927597  ,214.00529164503808 ,3.0887260286248674e-5   ,0.00026874249390949196 ,3.87943459030371e-5   ,0.0013267316168676228  ,0.00020915179954217322 ,5.3748498781898394e-5       ,1.939717295151855e-5           ,1.6464819360195209e-6     ,9.695778786915895e-6         ,  0.2500006209953525  , 4.795658111911965 , 23.36984515322131
