experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual  ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2040 ,  12.453756938 ,                      2208.5 ,213.97373754176178 ,214.0004777213599  ,6.233516758515183e-5    ,0.00038085233921871664 ,7.799038906397548e-5   ,0.00010956325111968898 ,8.655856987171973e-6   ,7.617046784374333e-5        ,3.899519453198774e-5           ,1.3596865524773092e-7     ,4.012648934530305e-7         ,  0.24998050240275801 ,4.795265930191     , 23.12663107245243
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_NUMERICAL_ERROR ,           1586 ,   5.64142314  ,                      2029.5 ,213.90606087391447 ,213.99670300893067 ,0.00021133492868084024  ,0.0015314613930260794  ,0.00039125162251929524 ,0.0005104791157766805  ,0.00017055270439492176 ,0.0003062922786052159       ,0.00019562581125964762         ,6.335076605967279e-7      ,7.906416760186568e-6         ,  0.24996931131006792 ,4.7938135439839025 , 25.10465000449222
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1080 ,   4.905715477 ,                      1167.5 ,213.9912580182181  ,214.0199772454444  ,6.694283241475912e-5    ,0.00017895442684293366 ,3.653921770374602e-5   ,0.004418001811730662   ,0.00035466533955186286 ,3.5790885368586735e-5       ,1.826960885187301e-5           ,5.482766886561538e-6      ,1.6441439582201088e-5        ,  0.24999545968663264 ,4.795654816353885  , 23.43066973122066
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1320 ,   6.653327318 ,                      1422.5 ,213.98144701642286 ,214.0061982812944  ,5.769691771507411e-5    ,0.0003562590981347963  ,6.209225822106923e-5   ,0.001329095029272671   ,0.00010442373435282093 ,7.125181962695925e-5        ,3.1046129110534615e-5          ,1.6494149450643069e-6     ,4.840835367445491e-6         ,  0.24998476760450278 ,4.7954496241759985 , 24.44304606776769
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1160 ,   7.092341076 ,                      1252.5 ,213.9989543064533  ,213.9993499493979  ,9.222482715465855e-7    ,0.00021969739394736934 ,8.844174546607242e-6   ,0.0018721085613183795  ,0.00024177389475710243 ,4.393947878947387e-5        ,4.422087273303621e-6           ,2.323298012416144e-6      ,1.120806134657842e-5         ,  0.25000332186088114 ,4.795823806865905  , 25.50848034170679
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1560 ,  11.643244509 ,                      1676.5 ,214.0030166172639  ,214.00232888232358 ,1.6030917738970605e-6   ,4.417359344558886e-5   ,9.262432753898153e-6   ,0.0005340595035759242  ,4.459203433881953e-5   ,8.834718689117772e-6        ,4.631216376949077e-6           ,6.627710640328002e-7      ,2.067180399853896e-6         ,  0.2500036071731333  ,4.795896792944944  , 25.03140121329112
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,            920 ,   7.545103841 ,                       999.5 ,213.99673494214522 ,213.9947681991996  ,4.58457319369857e-6     ,0.0004856381564334238  ,3.8463264090626836e-5  ,0.0026009113431657437  ,0.0004777358078964511  ,9.712763128668476e-5        ,1.9231632045313418e-5          ,3.227746658982309e-6      ,2.2146693081732435e-5        ,  0.2500162513504476  ,4.795795867890101  , 23.974863707938542
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1680 ,  16.754586659 ,                      1798.5 ,213.99952564681342 ,213.99997157113953 ,1.0394518618152831e-6   ,0.00011894657616180377 ,6.882018556919611e-6   ,0.0004729021817204558  ,0.00010747755966322714 ,2.3789315232360755e-5       ,3.4410092784598056e-6          ,5.86874458864004e-7       ,4.9824034281956105e-6        ,  0.25000523055322404 ,4.79582470295997   , 23.713244070173328
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1160 ,  15.483977867 ,                      1254.5 ,214.00056227476642 ,213.999997742293   ,1.3159247936563828e-6   ,7.742774519470556e-5   ,7.667717361048432e-6   ,0.00020500397463886282 ,3.8666140036891505e-5  ,1.5485549038941113e-5       ,3.833858680524216e-6           ,2.54411168591884e-7       ,1.7924700679709798e-6        ,  0.2500047855964918  ,4.7958387920162915 , 23.40114410332654
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1800 ,  28.681047851 ,                      1925.5 ,214.00091678069714 ,214.00000000040097 ,2.137012440543091e-6    ,0.00035538153837101307 ,2.715410259032658e-5   ,0.00017221747057824638 ,3.277131031165226e-5   ,7.107630767420261e-5        ,1.357705129516329e-5           ,2.1372291936745789e-7     ,1.5191998158021418e-6        ,  0.2500142056695945  ,4.7958315265146805 , 23.332877344591893
