experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual    ,l_inf_primal_residual  ,l2_dual_residual      ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-8,1"  ,+step_size ,1e-8      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           3080 ,  16.861385048 ,                      3324.5 ,214.00000037251965 ,213.99999970653747 ,1.5524060252507085e-9   ,5.375530203558421e-9  ,1.1050671488987973e-9  ,0.0                   ,0.0                    ,1.0751060407116842e-9       ,5.525335744493987e-10          ,0.0                       ,0.0                          ,  0.2500000004373565  ,4.79583153132675   , 23.126601196526092
"+step_size,1e-8,2"  ,+step_size ,1e-8      ,     2 ,nug08-3rd     ,TERMINATION_REASON_NUMERICAL_ERROR ,           1586 ,   6.179131846 ,                      2029.5 ,213.90606087391447 ,213.99670300893067 ,0.00021133492868084024  ,0.0015314613930260794 ,0.00039125162251929524 ,0.0005104791157766805 ,0.00017055270439492176 ,0.0003062922786052159       ,0.00019562581125964762         ,6.335076605967279e-7      ,7.906416760186568e-6         ,  0.24996931131006792 ,4.7938135439839025 , 25.10465000449222
"+step_size,1e-8,3"  ,+step_size ,1e-8      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2720 ,  11.582155252 ,                      2928.5 ,213.99999773578486 ,214.0000000500668  ,5.394596631507382e-9    ,3.284095397043406e-8  ,6.7251270108315e-9     ,1.1390862553881481e-8 ,8.99919916363956e-10   ,6.568190794086812e-9        ,3.36256350541575e-9            ,1.4136129110216528e-11    ,4.1718141819025476e-11       ,  0.24999999831872666 ,4.79583147454151   , 23.429408994801378
"+step_size,1e-8,4"  ,+step_size ,1e-8      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2960 ,  13.934476741 ,                      3182.5 ,213.9999985380639  ,214.0000000007871  ,3.409611244695276e-9    ,2.1206484029264744e-8 ,4.3426502394083855e-9  ,8.875156915539128e-11 ,7.02371494298859e-12   ,4.241296805852949e-9        ,2.1713251197041927e-9          ,1.101412324466518e-13     ,3.256026794827612e-13        ,  0.2499999989144082  ,4.795831491819547  , 24.442658714435918
"+step_size,1e-8,5"  ,+step_size ,1e-8      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2440 ,  13.265203086 ,                      2627.5 ,213.999998723643   ,214.0000000392404  ,3.0666606519582294e-9   ,1.85152459661328e-8   ,3.791524871843421e-9   ,8.90787565129581e-9   ,7.0376060534727e-10    ,3.70304919322656e-9         ,1.8957624359217107e-9          ,1.1054727393015817e-11    ,3.262466382469381e-11        ,  0.24999999905211895 ,4.795831495816229  , 25.508520067899518
"+step_size,1e-8,6"  ,+step_size ,1e-8      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2160 ,  15.295282121 ,                      2317.5 ,214.00000135499948 ,213.9999991932198  ,5.039113490922632e-9    ,1.956818022966088e-8  ,4.022694843897057e-9   ,0.0                   ,0.0                    ,3.913636045932176e-9        ,2.0113474219485283e-9          ,0.0                       ,0.0                          ,  0.2500000015921876  ,4.795831552485643  , 25.031255634649007
"+step_size,1e-8,7"  ,+step_size ,1e-8      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2400 ,  17.877480803 ,                      2589.5 ,213.9999985632154  ,214.00000032428596 ,4.105059600490662e-9    ,2.0841736324098745e-8 ,4.267942887992149e-9   ,7.428185023674122e-8  ,5.868516339546659e-9   ,4.168347264819749e-9        ,2.1339714439960744e-9          ,9.218422402388928e-11     ,2.720504263420051e-10        ,  0.2499999989330158  ,4.795831492361222  , 23.97521810044507
"+step_size,1e-8,10" ,+step_size ,1e-8      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1760 ,  17.374685082 ,                      1884.5 ,213.9999998673067  ,214.00000022853828 ,8.420316335598085e-10   ,2.4019112889908327e-8 ,1.99846830750694e-9    ,2.47207283141525e-6   ,5.739784549874116e-7   ,4.803822577981666e-9        ,9.9923415375347e-10            ,3.067857289072168e-9      ,2.6608272748289446e-8        ,  0.2500000017782826  ,4.795831520607949  , 23.713245862876576
"+step_size,1e-8,15" ,+step_size ,1e-8      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1320 ,  16.511014025 ,                      1425.5 ,214.00000004802757 ,214.0000001204968  ,1.6892592058234293e-10  ,2.268947925356229e-8  ,3.5047298396762017e-9  ,2.2857598663199198e-7 ,4.739080816662522e-8   ,4.537895850712458e-9        ,1.7523649198381008e-9          ,2.8366417760206657e-10    ,2.196924881940181e-9         ,  0.2500000018859064  ,4.795831523454144  , 23.401147783908883
"+step_size,1e-8,20" ,+step_size ,1e-8      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           1920 ,  29.343318937 ,                      2054.5 ,213.9999999976014  ,214.00000000040006 ,6.523676703765711e-12   ,2.3096310557886922e-8 ,3.3358462658839017e-9  ,2.1009570544285266e-8 ,4.585801072209961e-9   ,4.619262111577384e-9        ,1.6679231329419508e-9          ,2.6073003722006706e-11    ,2.1258680467620852e-10       ,  0.2500000013600867  ,4.7958315233127236 , 23.33287540281438
