experiment_label ,solver ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"dwifob,1e-8,1"  ,dwifob ,1e-8      ,     1 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  18.155970908 ,                      5294.0 ,213.9847855198358  ,213.99993506277787 ,3.5314877698860735e-5   ,0.00021791573193389747 ,4.321570898968563e-5  ,0.0                   ,0.0                   ,4.3583146386779495e-5       ,2.1607854494842815e-5          ,0.0                       ,0.0                          ,  0.24998919608133335 ,4.795506619662683  , 20.754743626202256
"dwifob,1e-8,2"  ,dwifob ,1e-8      ,     2 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  13.501230158 ,                      5294.0 ,213.99827278525328 ,213.9999769940462  ,3.972530875807281e-6    ,2.6713326531301004e-5  ,2.9304871156377033e-6 ,1.941993037174918e-8  ,1.7331326596092822e-8 ,5.342665306260201e-6        ,1.4652435578188516e-6          ,2.4100250683203706e-11    ,8.034389812917886e-10        ,  0.2499999545971768  ,4.795795047599993  , 20.75377848383113
"dwifob,1e-8,3"  ,dwifob ,1e-8      ,     3 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  15.593254061 ,                      5294.0 ,213.99992754493314 ,213.99999573926448 ,1.5896117372658424e-7   ,1.0377735678215989e-6  ,2.058047662290008e-7  ,0.0                   ,0.0                   ,2.0755471356431977e-7       ,1.029023831145004e-7           ,0.0                       ,0.0                          ,  0.25000010069496786 ,4.795829976033609  , 20.762427792233556
"dwifob,1e-8,4"  ,dwifob ,1e-8      ,     4 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  17.715496583 ,                      5294.0 ,213.999958940686   ,213.99999874866626 ,9.279250389238527e-8    ,5.880948340766488e-7   ,1.1662728560679625e-7 ,0.0                   ,0.0                   ,1.1761896681532976e-7       ,5.8313642803398125e-8          ,0.0                       ,0.0                          ,  0.2500017264902085  ,4.795830646538189  , 20.75237478674733
"dwifob,1e-8,5"  ,dwifob ,1e-8      ,     5 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  25.306443656 ,                      5294.0 ,213.9999945617248  ,213.99999970641937 ,1.1992295192923063e-8   ,7.78976832389038e-8    ,1.544816585763442e-8  ,0.0                   ,0.0                   ,1.557953664778076e-8        ,7.72408292881721e-9            ,0.0                       ,0.0                          ,  0.2500080180058415  ,4.795831408884181  , 20.751501539474962
"dwifob,1e-8,6"  ,dwifob ,1e-8      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2680 ,  18.362792863 ,                      2858.0 ,213.99999881686205 ,213.9999984761642  ,7.941674925461695e-10   ,1.6951715195351467e-8  ,3.361799949530564e-9  ,0.0                   ,0.0                   ,3.3903430390702932e-9       ,1.680899974765282e-9           ,0.0                       ,0.0                          ,  0.25000662071626195 ,4.7958314995117215 , 20.69620775317364
"dwifob,1e-8,7"  ,dwifob ,1e-8      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2600 ,  20.16960132  ,                      2774.0 ,213.99999961257666 ,213.99999927682163 ,7.826457658151102e-10   ,5.638627049082777e-9   ,1.1038221447989827e-9 ,0.0                   ,0.0                   ,1.1277254098165553e-9       ,5.519110723994913e-10          ,0.0                       ,0.0                          ,  0.25004258983673766 ,4.795831628342162  , 20.750088252925128
"dwifob,1e-8,10" ,dwifob ,1e-8      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL         ,           2920 ,  28.220221261 ,                      3110.0 ,214.00000000058924 ,214.00000000037682 ,4.951605041546881e-13   ,4.961716549502259e-8   ,3.829858180592893e-9  ,2.5839414702968664e-8 ,8.995707290182509e-9  ,9.923433099004518e-9        ,1.9149290902964466e-9          ,3.206686944432714e-11     ,4.1701954326177896e-10       ,  0.25001812443697885 ,4.795831536797487  , 20.77530837634587
"dwifob,1e-8,15" ,dwifob ,1e-8      ,    15 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  67.878139815 ,                      5294.0 ,214.00000061916813 ,214.00000000041055 ,1.442325364025154e-9    ,6.299445195252596e-7   ,6.798197804691597e-8  ,5.902202864423359e-7  ,1.4615965149289423e-7 ,1.2598890390505192e-7       ,3.3990989023457985e-8          ,7.324669341897016e-10     ,6.775612983248917e-9         ,  0.25007564817930095 ,4.795831622696442  , 20.712843234931224
"dwifob,1e-8,20" ,dwifob ,1e-8      ,    20 ,nug08-3rd     ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  77.589419144 ,                      5294.0 ,213.99997716078843 ,214.00000000040984 ,5.323921357642371e-8    ,6.0294320279232655e-6  ,7.133742641052265e-7  ,4.0119979379837546e-6 ,9.221102992285068e-7  ,1.2058864055846532e-6       ,3.5668713205261326e-7          ,4.978913631253963e-9      ,4.2746835064422443e-8        ,  0.2501374938038919  ,4.795832611241354  , 20.734063930566695
