experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective ,dual_objective          ,relative_optimality_gap ,l2_primal_residual   ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable    ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,self          ,TERMINATION_REASON_OPTIMAL ,            160 ,   5.284775439 ,                       192.5 ,             0.0 ,1.7462937374057853e-9   ,1.7462937343562433e-9   ,6.284214453229465e-5 ,9.22430849636309e-6   ,2.706088422144698e-6  ,4.919613096725873e-7  ,6.284214453229465e-5        ,9.22430849636309e-6            ,4.94521416207194e-7       ,2.4598065483629365e-7        ,0.001036550229572572  ,0.005243335388174251  ,2.0101512179818542e-5
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,self          ,TERMINATION_REASON_OPTIMAL ,            160 ,   1.575166252 ,                       192.5 ,             0.0 ,2.5255017436749438e-9   ,2.5255017372967844e-9   ,7.537827496405204e-5 ,1.0002669518608838e-5 ,6.475754565701832e-6  ,1.429108701052095e-6  ,7.537827496405204e-5        ,1.0002669518608838e-5          ,1.1834052770171587e-6     ,7.145543505260475e-7         ,0.0009651619123071098 ,0.005313378856844978  ,3.961073829202582e-5
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   1.722464492 ,                       235.5 ,             0.0 ,6.796296084706235e-10   ,6.796296080087271e-10   ,9.142315981501232e-5 ,1.3565419590668684e-5 ,4.3531227622577285e-6 ,1.0580340489324652e-6 ,9.142315981501232e-5        ,1.3565419590668684e-5          ,7.955070557559024e-7      ,5.290170244662326e-7         ,0.0007593946073130776 ,0.0053399690371857276 ,2.3158315133813475e-5
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   1.745036564 ,                       235.5 ,             0.0 ,7.3103079011044e-10     ,7.31030789576034e-10    ,9.302631178387145e-5 ,1.5961670027582318e-5 ,4.561454147509675e-6  ,1.161705673958116e-6  ,9.302631178387145e-5        ,1.5961670027582318e-5          ,8.33578365928963e-7       ,5.80852836979058e-7          ,0.0007475800623915163 ,0.005327234981060033  ,2.1931763382331693e-5
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   1.687935835 ,                       236.5 ,             0.0 ,1.1447016854398427e-9   ,1.1447016841295007e-9   ,8.203589556083091e-5 ,1.2567895031315857e-5 ,4.450794169863594e-6  ,1.0956317172564419e-6 ,8.203589556083091e-5        ,1.2567895031315857e-5          ,8.133559192360995e-7      ,5.478158586282209e-7         ,0.0009063481550989231 ,0.0053360581694297205 ,2.381094003509402e-5
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,self          ,TERMINATION_REASON_OPTIMAL ,            240 ,   1.833466141 ,                       278.5 ,             0.0 ,-1.0372777853875617e-9  ,1.0372777843116165e-9   ,7.474405348281071e-5 ,1.1764704081043127e-5 ,2.1497875885512156e-6 ,4.6955766924689e-7    ,7.474405348281071e-5        ,1.1764704081043127e-5          ,3.9286077799055357e-7     ,2.34778834623445e-7          ,0.0008695621543030533 ,0.00561327766962783   ,1.8030097922508042e-5
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,self          ,TERMINATION_REASON_OPTIMAL ,            240 ,   1.870149976 ,                       279.5 ,             0.0 ,-5.483833552347714e-10  ,5.483833549340471e-10   ,8.853497390936181e-5 ,1.292352109956342e-5  ,3.00053031512814e-6   ,7.553417310825782e-7  ,8.853497390936181e-5        ,1.292352109956342e-5           ,5.483289048011911e-7      ,3.776708655412891e-7         ,0.000958959543835398  ,0.0055197071488213454 ,2.1281656741007163e-5
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   1.81793347  ,                       235.5 ,             0.0 ,1.0193673374393122e-9   ,1.0193673364002025e-9   ,6.928925970714561e-5 ,1.0329915061582756e-5 ,3.85875820040858e-6   ,9.85738631572567e-7   ,6.928925970714561e-5        ,1.0329915061582756e-5          ,7.051648994362159e-7      ,4.928693157862835e-7         ,0.0008461059240226138 ,0.005331948019433252  ,2.3388421695118217e-5
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,self          ,TERMINATION_REASON_OPTIMAL ,            240 ,   1.932489975 ,                       278.5 ,             0.0 ,-9.097678703460649e-10  ,9.097678695183874e-10   ,7.03971414863453e-5  ,1.3482094300066939e-5 ,2.0451347540141774e-6 ,3.690717754673828e-7  ,7.03971414863453e-5         ,1.3482094300066939e-5          ,3.7373610064378135e-7     ,1.845358877336914e-7         ,0.0008222054916514747 ,0.005535197538509524  ,1.670816828244095e-5
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   2.106815612 ,                       235.5 ,             0.0 ,-5.36529696420237e-10   ,5.365296961323729e-10   ,8.395353783872831e-5 ,1.2661102558609669e-5 ,2.4109450465297215e-6 ,6.816661758046931e-7  ,8.395353783872831e-5        ,1.2661102558609669e-5          ,4.40585735872841e-7       ,3.4083308790234657e-7        ,0.0009474366933845425 ,0.005496061492034703  ,1.738819997061224e-5
"+step_size,1e-4,30" ,+step_size ,1e-4      ,    30 ,self          ,TERMINATION_REASON_OPTIMAL ,            200 ,   2.323076073 ,                       235.5 ,             0.0 ,1.534950937824057e-10   ,1.5349509375884496e-10  ,6.58741100596741e-5  ,1.0315116144622252e-5 ,2.6128319687614955e-6 ,4.691000979481965e-7  ,6.58741100596741e-5         ,1.0315116144622252e-5          ,4.774793591110066e-7      ,2.3455004897409825e-7        ,0.0008143482323273699 ,0.005398800052741413  ,1.9038679168549487e-5
