experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,self,TERMINATION_REASON_OPTIMAL,73,11.7790162,389.0,0.0,2.4333675731488565e-9,2.433367567227579e-9,9.980149585073843e-5,1.3323395493339712e-5,2.839451360118861e-6,7.101903738703969e-7,9.980149585073843e-5,1.3323395493339712e-5,5.188926926284819e-7,3.5509518693519844e-7,0.000610352138837768,0.004867597449679178,8.185133289601785e-6
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,self,TERMINATION_REASON_OPTIMAL,76,7.459051668,404.00000106805476,0.0,2.384603437258742e-9,2.3846034315724083e-9,9.963392193411682e-5,1.426665039567179e-5,2.944276467132988e-6,6.94260176689908e-7,9.963392193411682e-5,1.426665039567179e-5,5.380488517363993e-7,3.47130088344954e-7,0.0006213314257244396,0.004886178127708336,8.335339319387923e-6
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,self,TERMINATION_REASON_OPTIMAL,78,7.514142111,414.0000021651055,0.0,2.332677067834691e-9,2.3326770623933085e-9,9.946128618668434e-5,1.4392586136795946e-5,3.03509700906202e-6,6.72625766238769e-7,9.946128618668434e-5,1.4392586136795946e-5,5.546457606355749e-7,3.363128831193845e-7,0.0006277790664643075,0.004898060140241841,8.426469157086643e-6
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,self,TERMINATION_REASON_OPTIMAL,79,7.509589495,419.0000032478483,0.0,2.290812351420288e-9,2.2908123461724664e-9,9.954956158275433e-5,1.4351848511293527e-5,3.0832311480869626e-6,6.600465281026564e-7,9.954956158275433e-5,1.4351848511293527e-5,5.634419856235461e-7,3.300232640513282e-7,0.0006308213965909185,0.004904068238240814,8.471738787781398e-6
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,self,TERMINATION_REASON_OPTIMAL,80,8.293119029,424.00000433071676,0.0,2.2488673296299924e-9,2.2488673245725882e-9,9.92754193524227e-5,1.4196154083453886e-5,3.12693853753552e-6,6.463603465231957e-7,9.92754193524227e-5,1.4196154083453886e-5,5.714292486974148e-7,3.2318017326159787e-7,0.0006339148820575938,0.0049099046252838,8.51253246723463e-6
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,self,TERMINATION_REASON_OPTIMAL,80,8.135449667,424.00000534152423,0.0,2.251065553032512e-9,2.251065547965216e-9,9.997574180165891e-5,1.4302458190360632e-5,3.139487064252385e-6,6.481928310152775e-7,9.997574180165891e-5,1.4302458190360632e-5,5.737224166340411e-7,3.2409641550763877e-7,0.0006329402891204355,0.0049098760173438205,8.516016832139902e-6
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,self,TERMINATION_REASON_OPTIMAL,81,8.354029275,429.00000632356887,0.0,2.209394619677536e-9,2.209394614796111e-9,9.929962279675297e-5,1.4024185037849497e-5,3.1715998325219418e-6,6.337385145261045e-7,9.929962279675297e-5,1.4024185037849497e-5,5.795908322826356e-7,3.1686925726305223e-7,0.0006374302474208801,0.00491577355227003,8.552615529903635e-6
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,self,TERMINATION_REASON_OPTIMAL,81,7.108772699,429.0000072768467,0.0,2.2091813854760924e-9,2.20918138059561e-9,9.976383861680679e-5,1.4115986764198444e-5,3.177497836826032e-6,6.347963471137315e-7,9.976383861680679e-5,1.4115986764198444e-5,5.806686571672132e-7,3.1739817355686573e-7,0.0006372511087865942,0.004915854440731335,8.5545999291761e-6
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,self,TERMINATION_REASON_OPTIMAL,82,8.082089729,434.000009978423,0.0,2.172455845144568e-9,2.172455840425004e-9,9.916926140407063e-5,1.3833793648474855e-5,3.2010690905672296e-6,6.220980516509871e-7,9.916926140407063e-5,1.3833793648474855e-5,5.849761623050675e-7,3.1104902582549357e-7,0.0006423312063620385,0.004921809176617734,8.58995104029498e-6
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,self,TERMINATION_REASON_OPTIMAL,82,9.045118815,434.0000138809637,0.0,2.1575027107793356e-9,2.1575027061245177e-9,9.923650949839043e-5,1.3932472839348887e-5,3.1872175450560814e-6,6.295143630149442e-7,9.923650949839043e-5,1.3932472839348887e-5,5.824448755049848e-7,3.147571815074721e-7,0.0006416235587325915,0.004921872701848281,8.589425273829939e-6
"+primal_weight,1e-4,20",+primal_weight,1e-4,20,self,TERMINATION_REASON_OPTIMAL,81,9.497541224,429.00001704827906,0.0,2.164768462869799e-9,2.1647684581835766e-9,9.991672288824888e-5,1.4301953813526483e-5,3.145953396087472e-6,6.54297269191171e-7,9.991672288824888e-5,1.4301953813526483e-5,5.749040999635971e-7,3.271486345955855e-7,0.0006358694847830789,0.00491607590738348,8.555991374511705e-6
