experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,self,TERMINATION_REASON_OPTIMAL,82,19.668183859,434.0,0.0,9.70467796224371e-10,9.704677952825635e-10,9.97456647698927e-5,1.3720160498437482e-5,1.1603469534392492e-6,3.144973964027028e-7,9.97456647698927e-5,1.3720160498437482e-5,2.120464409110863e-7,1.572486982013514e-7,0.0006430788106698787,0.004902379748145481,3.6620992307664086e-6
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,self,TERMINATION_REASON_OPTIMAL,82,9.429210418,434.0000010969211,0.0,9.101308112183708e-10,9.101308103900326e-10,9.966526584100424e-5,1.2353312664813252e-5,1.2556839713580748e-6,3.0559391556645983e-7,9.966526584100424e-5,1.2353312664813252e-5,2.2946870868784385e-7,1.5279695778322992e-7,0.0006538021023384835,0.004931177868230397,3.6707903053217297e-6
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,self,TERMINATION_REASON_OPTIMAL,70,8.911465216,374.0000018042535,0.0,1.4652170963749928e-9,1.4652170942281317e-9,9.92718219752878e-5,1.6370109991097835e-5,1.2745571016045623e-6,2.174671644234389e-7,9.92718219752878e-5,1.6370109991097835e-5,2.3291765995690805e-7,1.0873358221171945e-7,0.0006105320814520957,0.004773383205996892,3.4722547960774143e-6
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,self,TERMINATION_REASON_OPTIMAL,76,9.595025514,404.00000303132464,0.0,1.2652770094126328e-9,1.2652770078117068e-9,9.873870679093638e-5,1.4762896890337313e-5,1.26811394717138e-6,2.7845840918314146e-7,9.873870679093638e-5,1.4762896890337313e-5,2.3174021215843083e-7,1.3922920459157073e-7,0.0006378137744323313,0.004855533315213434,3.934575197293011e-6
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,self,TERMINATION_REASON_OPTIMAL,73,8.388262348,389.0000036666621,0.0,1.208666068206664e-9,1.2086660667457904e-9,9.951354943599957e-5,1.1734060456195639e-5,1.296930775767738e-6,3.083459635662555e-7,9.951354943599957e-5,1.1734060456195639e-5,2.3700631461519262e-7,1.5417298178312775e-7,0.000632332374812251,0.004868527832747046,4.0252203047693405e-6
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,self,TERMINATION_REASON_OPTIMAL,72,9.333089584,384.0000044031248,0.0,1.2195174440696431e-9,1.2195174425824204e-9,9.955084628229785e-5,1.2056050000758641e-5,1.2982784112336382e-6,3.035271734114395e-7,9.955084628229785e-5,1.2056050000758641e-5,2.3725258690758132e-7,1.5176358670571976e-7,0.0006316293299636612,0.004865600584204938,4.014303884888674e-6
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,self,TERMINATION_REASON_OPTIMAL,71,8.630457988,379.00000506747523,0.0,1.2305587263906901e-9,1.2305587248764152e-9,9.97127712459662e-5,1.2591861603312245e-5,1.3005695727687839e-6,2.987861948175616e-7,9.97127712459662e-5,1.2591861603312245e-5,2.3767128292573348e-7,1.493930974087808e-7,0.0006309301586152263,0.004862680714580161,4.004749624410152e-6
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,self,TERMINATION_REASON_OPTIMAL,70,8.445038708,374.000005674143,0.0,1.242096678151952e-9,1.2420966766091478e-9,9.998208085926008e-5,1.3142174298646592e-5,1.3035085515110496e-6,2.9409979598989524e-7,9.998208085926008e-5,1.3142174298646592e-5,2.3820836365004927e-7,1.4704989799494762e-7,0.0006303357698014464,0.004859796351415764,3.9961261740300434e-6
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,self,TERMINATION_REASON_OPTIMAL,69,8.217318406,369.00000743673604,0.0,1.2555915097909585e-9,1.2555915082144487e-9,9.946792698435136e-5,1.2923229789270075e-5,1.2976862141076757e-6,2.840034213161999e-7,9.946792698435136e-5,1.2923229789270075e-5,2.3714436643739701e-7,1.4200171065809996e-7,0.0006289352078382468,0.004856632525474775,3.984058775377267e-6
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,self,TERMINATION_REASON_OPTIMAL,68,8.290539858,364.0000097494686,0.0,1.2667612481040791e-9,1.2667612464993953e-9,9.958690566620096e-5,1.2823226880346483e-5,1.2888637978076725e-6,2.749308364872839e-7,9.958690566620096e-5,1.2823226880346483e-5,2.355321228139646e-7,1.3746541824364196e-7,0.0006276028195536361,0.004853395400809709,3.981688550103613e-6
