experiment_label     ,solver     ,tolerance ,memory ,instance_name ,termination_reason                 ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective    ,dual_objective      ,relative_optimality_gap ,l2_primal_residual  ,l_inf_primal_residual ,l2_dual_residual     ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+step_size,1e-4,1"  ,+step_size ,1e-4      ,     1 ,ts-palko      ,TERMINATION_REASON_OPTIMAL         ,           4040 ,  39.769749816 ,                      4363.5 ,-14905.257122865356 ,-14902.388125845522 ,9.624714561484192e-5    ,0.4463688187969716  ,  0.3483883898006752  ,0.025837421775425223 ,0.002303528942360744  ,5.412220933156535e-7        ,5.973437375166309e-7           ,9.032055365687363e-5      ,       0.000658151126388784  ,   62.074940666866326 ,2490.375361589946  , 3.2444091707970197
"+step_size,1e-4,2"  ,+step_size ,1e-4      ,     2 ,ts-palko      ,TERMINATION_REASON_OPTIMAL         ,           5000 ,  49.80128814  ,                      5395.5 ,-14904.916046430279 ,-14901.947349038615 ,9.959443762462023e-5    ,0.36280850196150316 ,  0.23784523212816566 ,0.024079542871054304 ,0.002276490371927453  ,4.399052277745108e-7        ,4.0780738988241044e-7          ,8.4175490218093e-5        ,       0.0006504258205507009 ,   62.15896476434686  ,2490.3582155649246 , 3.2504548441545
"+step_size,1e-4,3"  ,+step_size ,1e-4      ,     3 ,ts-palko      ,TERMINATION_REASON_OPTIMAL         ,           4880 ,  50.85345335  ,                      5266.5 ,-14904.69916297145  ,-14901.73849704329  ,9.932641516957568e-5    ,0.3216577010547894  ,  0.17581228842027485 ,0.024521582634644983 ,0.002306665672552999  ,3.900098908457961e-7        ,3.0144623799433896e-7          ,8.572074022534559e-5      ,       0.0006590473350151425 ,   62.156293906360766 ,2490.3646332001003 , 3.249456684949414
"+step_size,1e-4,4"  ,+step_size ,1e-4      ,     4 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  55.518481716 ,                      5395.5 ,-14903.584727592452 ,-14902.14931898765  ,4.815719167887585e-5    ,0.37116887139552424 ,  0.20921086752787232 ,0.03322626853578079  ,0.002316098670189115  ,4.500421738501084e-7        ,3.58711154552814e-7            ,0.00011614993926979355    ,       0.0006617424771968901 ,   62.14363488654026  ,2490.3567281781934 , 3.2432429088908448
"+step_size,1e-4,5"  ,+step_size ,1e-4      ,     5 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  58.045256351 ,                      5395.5 ,-14903.041548306608 ,-14902.890634651005 ,5.06303884871373e-6     ,0.44327757248268346 ,  0.26098307012580335 ,0.03282931610350305  ,0.0022582638467265603 ,5.374739578484799e-7        ,4.474793279612621e-7           ,0.00011476230223037079    ,       0.0006452182419218744 ,   62.17665355844645  ,2490.3491368107166 , 3.242380210532468
"+step_size,1e-4,6"  ,+step_size ,1e-4      ,     6 ,ts-palko      ,TERMINATION_REASON_OPTIMAL         ,           4920 ,  62.572598632 ,                      5309.5 ,-14904.195102734195 ,-14902.34990212333  ,6.190381027906877e-5    ,0.4165026435118362  ,  0.2761399302398786  ,0.028226739326895147 ,0.00256976558834765   ,5.050093624382634e-7        ,4.7346714998580913e-7          ,9.8672953752618e-5        ,       0.0007342187395279    ,   62.13724863740096  ,2490.356523648384  , 3.249605907077699
"+step_size,1e-4,7"  ,+step_size ,1e-4      ,     7 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 ,  64.067232417 ,                      5395.5 ,-14902.80407687428  ,-14902.698797419638 ,3.532096840923708e-6    ,0.30589021311190634 ,  0.20391717785969377 ,0.030680232374669134 ,0.0021832589217454235 ,3.708918152289192e-7        ,3.4963463976581973e-7          ,0.00010724969381570774    ,       0.0006237882633558353 ,   62.189946241872406 ,2490.3487027609203 , 3.2482893455675494
"+step_size,1e-4,10" ,+step_size ,1e-4      ,    10 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 , 101.740397055 ,                      5395.5 ,-14899.628794786982 ,-14901.13166134819  ,5.042878468270745e-5    ,0.8287831554346009  ,  0.5847518194932491  ,0.049453740822104665 ,0.004083122364917591  ,1.0048993912657023e-6       ,1.0026104416843306e-6          ,0.00017287674019024737    ,       0.0011666063899764545 ,   62.11115214621429  ,2490.3597083357404 , 3.250167238443864
"+step_size,1e-4,15" ,+step_size ,1e-4      ,    15 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 , 127.115628693 ,                      5395.5 ,-14900.930601796877 ,-14903.267307653383 ,7.839927329469397e-5    ,0.5311670819738636  ,  0.32382745982613415 ,0.04877069832734636  ,0.004918063275086482  ,6.440399685198894e-7        ,5.552317781707108e-7           ,0.00017048901060817196    ,       0.0014051609357389947 ,   62.119416674440814 ,2490.352978970175  , 3.251108232214111
"+step_size,1e-4,20" ,+step_size ,1e-4      ,    20 ,ts-palko      ,TERMINATION_REASON_ITERATION_LIMIT ,           5000 , 138.833546503 ,                      5395.5 ,-14899.898086024592 ,-14901.254420067009 ,4.551127782262835e-5    ,0.48178455111301427 ,  0.34744579065591097 ,0.05033885058240979  ,0.002752117264416487  ,5.841636608562702e-7        ,5.957275651280057e-7           ,0.00017597084161773187    ,       0.0007863192184047106 ,   62.12981695903064  ,2490.3499437462488 , 3.255817936457021
