experiment_label,solver,tolerance,memory,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"+primal_weight,1e-4,0",+primal_weight,1e-4,0,nug08-3rd,TERMINATION_REASON_OPTIMAL,1520,11.564234012,1679.0,213.99619049732468,214.0104778128221,3.330324806769179e-5,5.5318118327102424e-5,1.1708748857031104e-5,0.0024031173291539556,0.00019095681658964914,1.1063623665420484e-5,5.854374428515552e-6,2.9822830950008568e-6,8.852302755987424e-6,0.24999730215855392,4.795749552331987,22.712166024672644
"+primal_weight,1e-4,1",+primal_weight,1e-4,1,nug08-3rd,TERMINATION_REASON_OPTIMAL,1560,5.813348729,1722.00000363304,213.9801940546712,214.01904616049387,9.056450963222677e-5,0.0002873439512237933,6.134342177843699e-5,0.004368876154652087,0.00037477426764076505,5.746879024475867e-5,3.0671710889218495e-5,5.421801649925412e-6,1.7373641546605805e-5,0.25006673405791036,4.795406529255672,34.49567815933289
"+primal_weight,1e-4,2",+primal_weight,1e-4,2,nug08-3rd,TERMINATION_REASON_OPTIMAL,1440,6.171003914,1593.0000066203695,214.03258222152232,213.9945696436098,8.86018000195816e-5,0.000475116172887466,9.623146696080553e-5,0.0,0.0,9.50232345774932e-5,4.811573348040277e-5,0.0,0.0,0.25003825626607795,4.796534779410835,25.285673381148488
"+primal_weight,1e-4,3",+primal_weight,1e-4,3,nug08-3rd,TERMINATION_REASON_OPTIMAL,1200,5.81451617,1335.0000081656826,214.00796981295795,214.03387278638948,6.0374002858543326e-5,0.0001941742520374851,2.0379175206697298e-5,0.007616263271301372,0.0005830099653283405,3.883485040749702e-5,1.0189587603348649e-5,9.451828641706259e-6,2.7026952035625592e-5,0.2500117914188844,4.796012601172758,27.338361716578078
"+primal_weight,1e-4,4",+primal_weight,1e-4,4,nug08-3rd,TERMINATION_REASON_OPTIMAL,2240,11.989170666,2453.0000200727286,214.02648109469806,214.00328738970023,5.406082911159636e-5,0.000428723216029571,7.502187753338774e-5,0.0009425350392377557,0.00010568554872669722,8.57446432059142e-5,3.751093876669387e-5,1.1696916666796036e-6,4.899330073520388e-6,0.2500327499875914,4.79641171672603,26.01656730896214
"+primal_weight,1e-4,5",+primal_weight,1e-4,5,nug08-3rd,TERMINATION_REASON_OPTIMAL,1800,11.80044591,1980.0000198889077,214.02515648828074,213.98419406427354,9.548142471590928e-5,0.0003555669997743297,7.667243756603881e-5,0.0,0.0,7.111339995486595e-5,3.8336218783019405e-5,0.0,0.0,0.25002988289872147,4.79636860257929,26.023497870240234
"+primal_weight,1e-4,6",+primal_weight,1e-4,6,nug08-3rd,TERMINATION_REASON_OPTIMAL,1760,12.989555249,1937.000023020595,214.02372015697136,214.00987791180737,3.226377893551501e-5,0.0003382457886812029,7.179330074169599e-5,0.0021751858072728944,0.00017104038175741465,6.764915773624058e-5,3.589665037084799e-5,2.6994187020404753e-6,7.929024320037681e-6,0.25002843574500433,4.796340479759064,26.06643378067831
"+primal_weight,1e-4,7",+primal_weight,1e-4,7,nug08-3rd,TERMINATION_REASON_OPTIMAL,1720,13.093893336,1894.0000258868029,213.99028154710047,214.0010583821202,2.5121334667278416e-5,0.00015598067309387267,3.2161686084108965e-5,0.0005542930007910624,0.00011866210768785024,3.119613461877453e-5,1.6080843042054482e-5,6.878809560740256e-7,5.500892409479831e-6,0.24999388533337902,4.7956210753710415,23.963149451351228
"+primal_weight,1e-4,10",+primal_weight,1e-4,10,nug08-3rd,TERMINATION_REASON_OPTIMAL,2280,20.428126095,2496.000046995043,213.99796065118815,213.9897233566361,1.9201704056170784e-5,2.9909626215991796e-5,6.868123424652595e-6,0.0,0.0,5.9819252431983595e-6,3.4340617123262973e-6,0.0,0.0,0.24999854682256006,4.795787727138214,23.191234040470437
"+primal_weight,1e-4,15",+primal_weight,1e-4,15,nug08-3rd,TERMINATION_REASON_OPTIMAL,1440,21.101676879,1593.0000412699949,213.99875859192963,214.00307200261113,1.0054527449280965e-5,0.00038786605979411167,4.288109361283432e-5,0.0022360233549007826,0.0004144945181039361,7.757321195882233e-5,2.144054680641716e-5,2.7749184654647757e-6,1.9214977660829127e-5,0.2500107202734446,4.795808468455719,23.368035759167636
"+primal_weight,1e-4,20",+primal_weight,1e-4,20,nug08-3rd,TERMINATION_REASON_OPTIMAL,1880,29.54017826,2066.000066253629,213.9968203229933,213.9997856783011,6.912304820855783e-6,0.00030442509585083794,3.8536934246047316e-5,0.00465248532743496,0.0009383464944752173,6.088501917016759e-5,1.9268467123023658e-5,5.7737623433615975e-6,4.349950636726504e-5,0.25001867909680964,4.795810122439429,23.08177422433909
"+primal_weight,1e-4,30",+primal_weight,1e-4,30,nug08-3rd,TERMINATION_REASON_OPTIMAL,1320,24.575756072,1464.0000578998533,214.0008227047489,214.00000317856356,1.9103137707615507e-6,0.00027973945593023946,5.149086849209894e-5,0.00027263667338218425,6.646821442024553e-5,5.594789118604789e-5,2.574543424604947e-5,3.383437555215883e-7,3.0813079533176335e-6,0.25002424011661245,4.79583113256174,22.983962987007097
